stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.39,0,0,0,0,0,0,0,0,0
  5-6,23.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.28,0,0,0,0,0,0,0,0,0
  7-9,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,3.68,75.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0
 14-21,0,3.99,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,2.99,0,0,7.68,0,248.62,0.9,0.87,0.9,3.82,0,0,0,0,0
 24-34,0,1.29,7.47,0,13.58,0,0,0,0,0,0,5.14,1.86,0,1.39,0.66,0,19.31,0.61,0,5.42,36.22,0,0.67,1.85,0,508.83,0,0,0,1.99,0,0,0,0,0
 36-46,0,0,1.67,0,4.24,0,2.33,0,0,0,0,0,0,3.69,0,1.07,0,6.98,1.35,0,0,26.58,2.21,0,0,0,651.06,0,0,0,4.89,0,0,0,0,1.45
 48-58,0,0,6.39,0,6.49,0,0,0,0,0,1.1,0,2.29,0,0,0,0,0.41,1.86,0,0.52,35.9,0,4.49,0,0,321.48,0,0,0,2.25,0,0,0,0,0
 60-70,0,0,12.61,0,3.97,0,1.09,0,0,0,0,0,0,0,0,0,0.86,12.15,1.46,0,0,9.38,0,1.27,0,0,294.03,0,0,0,2.37,1.44,0,0,0,0
 72-82,0,0,22.78,0,10.16,0,1.55,0.7,0,0,0,0,0,0,0.69,0,0.87,3.22,7.98,1.19,0,13.51,0,0,1.48,0,221.8,0,0,0,0,2.32,0,4.47,0.64,0
 84-94,0,0,48.64,0,5.58,0,4.91,0,0.75,0,0,0,0.94,0,0,0,0,0.74,7.38,0,0.7,4.69,0,0,0,0,576.51,0,0,0,0,0,0,0,0,0
 96-106,0,0,72.12,0,3.47,0.57,7.11,0,0,0,0,0,2.38,0,0,0,0,17.9,4.07,0,0,13.3,0,0,1.74,0,497.84,0,0,0,2.07,0,0,0,0,0
108-118,0,0,56.15,2.36,3.6,0,8.08,0,1.57,1.48,0,0,7.3,3.06,0,0,0,0,4.19,0,1.25,18.42,0,2.28,0.42,0,416.52,0,0,0,0,0.98,0,0,0,0
120,0,0,23.31,0,4.32,0,20.72,0,0,3.87,0,0,6.14,0,0,0,0,0,5.16,0,0,0,0,1.99,0,0,248.99,0,0,0,0,1.99,6.44,0,0,0
