stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste
  5-6,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0.82,6.25,0,0,0,0,0,0.84,2.23,3.12,0
 24-34,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,48.03,0,0,0,0,0,0,0,7.1,0
 36-46,0,0,0,0,1.13,0,0,0,0,0,0,0,0.56,0,0,178.18,3.76,1.46,0,0,0,0,0,26.89,0
 48-58,0,0,0.47,0,14.14,0,0.41,6.04,0.42,4.33,0,0,0,0,1.44,354.44,1.78,3.42,0,2.45,0,0,0,59.16,0
 60-70,0,0.91,0,2.83,15.99,1.4,0,2.91,0,0,0,0,0.59,5.65,0,304.68,0,14.79,0,0,0,0,0,24.89,0
 72-82,0,0,0.58,0,44.47,9.64,0,3.28,0,0,0,0,1.09,0,0,320.67,5.59,0.61,0,0,0.64,0,0,21.63,0
 84-94,0,0,0,0,39.19,0,1.1,3.7,0,0,0,0.69,2.3,0,0,129.52,0,2.07,0,0,0,0,0,12.01,0
 96-106,0,0,0,0,11.28,0,0,1,0,1.18,0,1,1.76,0,0,115.93,6.22,2.78,0,3.89,0,0,0,10.84,0
108-118,0,0,0,0,20.04,0,0,2.35,0,3.47,5.15,0,2.03,0,0,143.92,1.37,0.6,0,0,0,0,0,6.03,0.89
120,0,0,5.24,0,5.4,0,0,7.06,0,0,0,0,1.05,0,2.57,194.08,0,1.29,0,0,0,0,0,20.34,0
