stage,blastomeres,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,mucous,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,24.71,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.05,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.32,0,0,0,0,0,0,27.36,0,15.27,0
 10-12,0,0,0,0,0,0,0,0,0,38.55,0,3.59,0
 14-21,0,2.71,0,0,0,0,0,0,0,5.13,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,0,14.56,0,0,3.82
 36-46,0,0.61,1.46,0.81,0,0,0,1.63,0,8.34,0.57,0,4.01
 48-58,0,0,2.45,2.2,2.4,0,0,2.53,0.48,20.53,0,0,1.14
 60-70,0,0,1.53,0.98,0,0,0,1.65,0,8.79,0,0,0
 72-82,0,1.87,9.08,6.85,0,0,0,1.32,0,12.91,0,0,0
 84-94,0,0,0.75,0,0,0,0,2.33,0,21.84,0,0,2.79
 96-106,0,2.65,7.87,3.04,0.7,0,0,0,0,2.13,0,0,0
108-118,0,0,1.61,1.72,0,1.04,2.01,5.11,0,2.46,0.44,0,0
120,0,0,0,0,0,0,0,0,0,4.47,2.08,0,0
