stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,4145.67,79561.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3809.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,2782.69,29329.03,16.81,0,0,0,0,0,0,0,0,75.49,0,0,0,0,0,0,0,0,0,0,0,852.41,27.67,0,0,177.4,0,955.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,260.44,160.39,484.55,0,0,405.9,0,0,0,0,0,424.86,0,0,0,0,0,0,0,0,0,0,0,4976.88,113.43,0,0,1116.52,0,20.51,12.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,97.59,0,15.7,106.86,0,0,0,0,0,99.03,0,0,0,0,0,5.32,0,0,0,0,0,790.87,14.79,0,0,200.41,0,0,68.49,0,42.19,0,0,0,0,0,0,0,0
 14-21,0.89,0,10.26,248.2,12.95,5.81,0,0,0,2.64,12.25,1.74,2.6,0,7.18,0,0,0,0,15.44,0,0,21.17,87.4,23.16,4.01,18.65,8,0,122.23,1.53,32.95,5.54,3.5,22.61,32.62,0,0,1.41,0,0
 24-34,0,0,0,18.59,2.22,14.36,0,2.14,0,3.02,0,0,3.33,2.05,1.53,1.17,0,0,0.62,20.93,3.86,0,7.22,349.82,10.1,4.68,3.82,0,0,38.67,0,0,0,0,0.66,88.51,0,0,5.96,0,0
 36-46,0,0,0,1.87,0,60.4,5.54,3.67,0.81,15.87,0,0,0,0,0,0,0,0,0,34.98,0,0.74,12.6,426.79,1.28,3.25,11.26,0,0,19.76,0,0,3.31,0,0,119.28,0,0.62,3.51,0,0
 48-58,0,0,0,6.94,0,124.38,2.07,4.48,3.42,40.97,0,0,0,0.5,0,6.55,0.77,0,0,54.09,0.7,0.42,3.5,622.47,9.5,0,1.17,0,0,25.63,0,0,0.61,1.4,0,139.54,0,0,5.83,0,1.31
 60-70,0,0,0,7.15,0,236.29,0,0,14.8,17.26,2.4,0,2.21,0,1.74,0,0.61,0,2.22,73.69,0,2.81,5.96,638.52,0,1.22,13.32,0,0,14.18,0,0,0,0,0,46.73,0,0,3.09,0,0
 72-82,0,0,0,4.76,7.65,259.63,0,8.04,10.72,58.61,3.11,0,0.51,0.49,2.21,2.07,4.94,0,1.88,72.43,0,5.41,4.58,750.84,0.73,1.83,4.04,0,2.52,11.25,0,0,0,0,0,86.92,0,4.35,9.47,3.43,0
 84-94,0,0,0,11.54,5.14,121.7,0,0.9,0.69,28.54,0.82,0.66,0,0.73,0,4.11,1.92,0,5.92,35.09,0,3.82,1.2,245.13,0,4.45,0,0,1.66,30.49,0,0,0.64,0,0,39.87,1.63,1.49,0,1.62,0
 96-106,0,0,0,16.4,0,83.89,0.67,4.72,2.72,37.77,0,0,0.72,0.75,2.2,1.45,0,12.37,0,46.06,7.89,0,4.25,203.68,0,3.07,0,0,1.47,53.85,0,0,0.61,0,0,18.46,0.61,0,6.2,1.82,0
108-118,0,0,0,6.92,0.65,76.44,0,0.93,0,23.89,1.83,0,0,1.88,2.13,0,0.53,0,0.44,47.89,1.15,5.67,2.82,313.81,0.42,2.63,0,0,3.32,45.84,0,0,0,0,0,4.48,0,0,8.58,0,4.76
120,0,0,0,10.04,2.43,73.65,0,0,0,14.08,0,0,1.61,0,0,0,0,0,0,32.79,0,0,10.2,267.59,0,0,0,0,0,10.89,0,0,0,0,0,27.87,0,0,3.89,8.95,0
