stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.62,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.68,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.88,0,0,0,0,0,0,0,16.31,0,0,0,0.95,0.89,0,0
 36-46,0,0,0,0,5,0,0,0,0,0,6.4,0,4.01,0,0,2.1,0,0,3.3,0.65
 48-58,0,0,0,0,8.65,0,0,1.2,0,0,1.02,0,7.2,0,0.62,0,0,0,1.25,0
 60-70,0,0,0,0,85.78,0,0,0,0,0,0.6,0,7.29,0,0,0,0,0,0,0
 72-82,0,0,1.04,0,226.92,2.85,0,1.89,0,0,2.2,0,14.52,1.92,0,0,0,0,0,0
 84-94,0,0,0.57,1.65,191.16,0,0,0,0,0,0,0,3.42,0,0,0.91,0,0,0,0
 96-106,0,0,0,10.76,627.55,0,0,3.28,0.69,0,0,0,10.64,0,1.47,1.19,0,0,0,3.76
108-118,0,0,0,0,629.49,0,1.11,4.86,0.53,0,3.19,0.92,7.53,0.49,0.87,3.94,0,0,0,0
120,0,0,10.4,0,1102.56,2.21,2.94,17.36,0,1.4,1.5,0,12.34,0,0,2.69,0,0,0,0
