stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,46.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0
  5-6,119.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,3.65,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,61.56,4.22,0,16.96,0,3.79,0,0,0,0,0,0
 10-12,0,0,0,0,20.61,0,0,0,0,0,0,0,0,0,0,65.45,0,0,7.58,0,0,0,3.26,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,1.12,0,0,0.89,0,2.1,0,0,0
 24-34,0,1.5,0,0,1.55,0,0,0.72,0,0,1.57,0,0,4.77,1.85,14.3,0,0,0,1.82,0,0,0,0.66,5.04,0,0
 36-46,0,0.88,0,0,0.76,0,0,0,0,0,0,0,0,2.06,0,20.79,0,0,0,5.05,0,0,0,0,2.61,0,2.68
 48-58,0,0,0,0,13.69,0,0,1.12,0,0,0,0,0,1.76,0.42,20.24,0,0,0,4.01,0,0,0,0,1.5,0,0
 60-70,0,0,0,0,10.32,0,0,1.89,0,0,0,0,0,1.57,0,30.12,0,0,0,1.81,0,0,0,0,1.14,0,0
 72-82,0,0,1.4,0,2.03,0,0,0,0,0,0,0,0,5.17,0.87,13.01,0,4.42,0,3.48,0,0,0,0,0,0,0
 84-94,0,0,0,0,20.54,0.67,0,5.33,0.97,0,0,0,0,1.47,0,1.62,0,0,0,7.8,0,0,0,0,1.5,0,0
 96-106,0,0,2.34,0,3.87,0,0,7.52,0,0,0,0.63,0.77,9.03,1.72,0.91,0,0,0,1.53,0,0,0,0,0,0,0
108-118,0,0.89,0,0.99,0.61,0,0,2.06,0,0.5,0,0,0,5.9,0.59,16.18,1.87,0,0,3.13,0,0,0,0,0,0.42,0
120,0,3.32,0,0,2.15,0,5.31,0,0,0,0,0,0,7.41,0,7.48,0,0,0,0,0,0,0,0,0,0,0
