stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.92,0,0,0,0,0,0,0,0,0,0,19.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.16,0,0,0,0,0,0,0,0,0,0,25.48,0,6.33,0,8.7,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,2.09,1.19,0,0,0,2.11,0,0,0.98,0,0,0.81,0,3.08,0,0
 24-34,0,0,0,0,0,0,0,0,3.86,0.66,0,0,1.22,4.33,0,0,4.53,0,0,0,0.66,0.83,0,0
 36-46,0,0,3.52,0,0,1.6,0,0,0,0,0,0,0,8.63,0,0,12.23,0,0,0,0,0,0,0
 48-58,0,0,1.84,0,0,0,0,0,4.37,0,0,0,0,13.33,0,0,0,0,0,0,0,1.84,0,0
 60-70,0,0,5.16,0,0,0,0,0,0,0,0,0,0,11.46,0,0,7.33,0,0,0,0,0,0,0
 72-82,0,1.69,7.09,0,0,0,0,0,0,0,0.92,1.56,0.56,1.23,0,0,5.16,0,0,0,0,0,2.67,0
 84-94,0,2.38,5.58,0,0,0.6,3.69,7.14,2.25,1.88,0,0,0,7.38,0.55,0,8.76,0,0,0,0,0,0,0
 96-106,0,11.88,0,0,2.64,0,0,0,1,0,0,0,0,2.28,0,0,5.95,0,0.82,0,0,0,2.73,0
108-118,0,10.44,0,0,0.49,0,0,0,2.52,4.66,0,1.11,0,13.38,0,0,3.84,0,0,0,0,0,6.96,0.62
120,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,5.76,0,0,0,0,0,1.37,0
