stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,101.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,4.08,0,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.04,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.74,48.25,0,0,147.05,0,0,0,0,20.47,0,16.57,0,0,0,0,0,0
 14-21,0,0,0,2.86,20.36,0,0,0,0,0,3.13,0,47.5,108.61,1.64,3.38,0,0,18.21,0,0,35.18,54.36,10.55,0,0,1.32,0,28.58,2.23,23.47,0,1436.1,457.56,10.41,0,0,1,0,0
 24-34,0.88,0,1.26,3.2,18.18,0,4.07,21.28,1.48,0,0,0,40.98,177.48,1.29,14.15,0,0,32.24,1.43,0,16.58,104.33,0.85,1.72,0,0,0,173,2.45,0,0,182.26,135,24.5,0,0,61.15,0,0
 36-46,0,0,0,0.64,1.73,0,6.67,31.81,1.42,0.8,4.46,0,56.12,152.12,0,13.77,0,0,61.95,1.64,0,18.6,47.18,0.56,7,1.19,0,0,432.65,0,13.78,0,25.78,8.35,6.08,0,1.69,53.65,0,0
 48-58,0,0,0,3.67,5.76,0,12.63,19.68,0.43,0,1.37,0,29.32,123.41,0,12.45,0,0,39.68,0,0,4.46,39.72,1.42,6.79,0,0,0,154.4,0,0,0,5.71,0,4.7,0,10.02,33.22,0,0.46
 60-70,0,0,0,6.39,15.07,0,10.39,25.91,6.07,3.9,0,0,24.12,120.66,0.71,32.6,0,0,66.13,0,11.99,6.23,50.09,3.05,8.97,0,0,0,102.6,0,0,0,2,0,4.44,0,23.55,37.68,0.79,11.94
 72-82,0,0,0,2.72,25.77,0,17.08,8.83,1.46,0.59,1.64,0.66,38.29,230.63,0,28.89,1.02,0,200.41,0,9.06,7.41,40.27,0,3.26,0,0,6.01,69.05,0,0,0,0.53,0,0,0,62.28,38.08,0.54,14.13
 84-94,0,0,0,17.55,29.92,0,15.86,13.42,13.28,4.35,3.38,0,18.32,326.04,0.78,54.16,0,0,170.06,1.35,11.39,6.9,49.27,0,13.68,0.79,0,0,337.59,0,0,0,6.6,0,4.9,0,42.17,61.7,3.03,14.82
 96-106,0,0,0,34.13,67.87,0,36.92,24.17,4.67,0,7.75,0.67,43.23,384.37,1.82,42.25,0,2.19,225.88,1.89,11.34,8.65,96.77,2.6,22.06,0.83,0,8.09,350.34,0,0,1.1,4.88,0,0.84,2.56,66.23,66.89,8.44,26.08
108-118,0,0,0.83,24.5,79.01,0.72,32.1,33.89,17.8,9.09,17.36,2.16,40.19,368.74,5.78,63.92,0,0,282.49,3.27,26.36,14.93,134.42,1.18,9.69,0,0,13.95,468.86,0,0,0.84,14.91,0,0,0,40.03,59.12,6.88,40.18
120,0,0,0,34.39,98.99,0,21.63,34.51,4.54,1.44,21.07,0,43.69,517.75,1.48,55.44,0,0,166.27,5.93,10.39,10.2,110.42,13.49,25.34,2.27,0,21.59,369.65,0,0,0,6.45,0,0,0,111.21,103.13,19.21,0
