stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.28,425.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0
  5-6,17.59,163.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.86,0,0,3.61,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,99.34,0,0,0,27.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.26,0,0,0,48.3,0,0,0,9.11,0,0,0,0,0,0,0
 14-21,0.89,0,0,92.9,8.1,6.73,0,0,1.95,3.32,0,1.23,0,5.22,0,0,0,0,23.74,0,0,13.12,66.62,4.76,1.43,2.6,1.61,0,2.08,2.43,0.84,28.43,22.84,0,0,2.18,0,0
 24-34,0,0,0.64,27.76,6.57,7.36,2.38,0,1.95,0.71,0,0,0,1.71,0,0.73,1.53,10.6,51.81,0,6.37,2.06,86.06,0,0,1.16,0,0,3.29,0,0,0,21.17,0,0,7.24,0,0
 36-46,0,0,0,22.8,0,9.4,10.62,0.9,3.44,0,0,0,0,0,0,0.72,0,2.86,24.78,0,15.52,3.6,64.14,0,2.01,0,0,0,1.74,0,0,0,17.67,0,0,1.82,0,0
 48-58,0,0,0,17.92,0,12.86,5.3,0.83,0.73,0,0,0.9,0.56,0.58,0,1.21,0,0,21.59,0,28.44,4.61,71.46,0,0,0.38,0,0.59,0.57,0,0,0,16.51,0,0.88,1.7,0.5,0.42
 60-70,0,0,0,11.28,0,26.89,6.25,2.52,3.13,0,0,0,0,0,3.38,1.22,0,0,37.58,2.18,18.3,2.83,147.85,0,0,0,0,0,0,0,0,0,11.46,0,6.74,0,6.97,1.66
 72-82,0,0,0,46.57,0,14.78,3.05,5.19,12.02,3.5,0,0,0.67,0,1.97,1.55,0.77,0,38.79,1.71,21.89,4.24,138.19,0,7.23,3.34,0,0.77,0.6,0,0,0,24.56,0.53,6.76,5.21,33.59,0
 84-94,0.62,0,0,25.38,0,20.26,3.25,4.07,1.44,5.69,0,2.85,9.29,0.56,7.71,0.99,0.96,0,33.55,0,21.47,3.56,114.83,0,4.78,0,0,0,0.66,0,0,0,7.76,0.65,13.86,1.39,33.85,0
 96-106,0,0,0,107.94,0,17.04,3.24,3.37,16.61,22.91,0,0,1.45,2.14,1.11,1.76,1.99,0,37.47,0.98,4.33,0,109.95,1.36,15.8,2.63,0,1.32,6.04,0,0,0,4.86,17.99,10.01,7.9,37.69,0
108-118,0,0,0,123.32,2.56,29.19,9.38,1.63,16.2,28.4,0,0,3.28,7.77,1.27,1.5,10.08,0.97,48.9,2.03,10.38,2.9,140.44,0,4.43,2.05,0,2.52,0.96,0,0,0,24.07,13.71,4.31,2.87,44.24,0
120,0,0,0,123.63,0,31.37,10.69,3.9,25.64,46.2,0,0,5.5,0,7.01,0,0,0,41.04,0,0,6.31,159.84,0,0,0,0,0,0,0,0,0,3.44,1.32,4.49,0,18.68,0
