stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,93.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0
  5-6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.91,0,0,0,0,0,38.06,0,0,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,399.85,8.35,0,0,95.73,0,6.74,0,0,0,0,0,0,0,0,0
 10-12,29.04,0,3.73,0,20.4,0,42.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116.46,28.01,0,0,175.49,0,0,0,0,0,4.47,0,0,0,0,0
 14-21,0,0,2.2,37.29,4.59,0,17.65,0,1.76,0,15.95,1.2,0,12.03,0,0,0,0,0,0.85,5.87,0,0,6.04,738.17,1.88,10.18,10.46,3.84,0,5.79,4.49,0,25.59,208.02,0,0,1.09,0,0
 24-34,0,0.65,5.3,19.34,0,0,97.57,0.74,4.11,0,25.14,1.51,0,5.32,0,3.16,0,3.04,1.53,0,21.98,0,0,6.26,1152.58,6.67,8.97,10.98,0,0,2.91,0,1.77,25.9,232.34,0,0,3.45,0,0
 36-46,0,0,1.13,26.65,0,0,308.85,0.58,1.19,0,62.62,0.59,0,3.51,0,0,0,3.23,2.19,5.51,19.82,0,0,2.78,924.17,0.57,2.33,6.5,0,0,0,0,2.88,0,185.96,0,0,3.69,0,0
 48-58,0,0,0,18.01,3.51,0,672.61,0.62,1.85,0.41,68.53,0.88,0,1.29,0,0,0,4.36,0,0,32.77,0,0,1.17,772.9,0,4.33,4.87,0,0,4.84,0,0,0,152.78,0,0.64,0,0,2.84
 60-70,0,0.57,0,3.23,0,0,1000.74,1.25,1.14,1.6,81.06,0.78,0,0,0,0,0,17.61,8.54,0,24.72,0,11.36,0.67,550.47,0,6.22,14.75,0,0.71,2.9,0,1.85,0,90.46,0,2.83,0,0.85,0
 72-82,0,3.12,0,5.66,2.63,2.44,371.17,4.28,2.82,4.07,61.74,3.25,0,1.98,0,2.74,0,1.99,9.16,0,49.29,0,3.1,5.38,382.26,0,1.66,14.94,0,0,0,0,0.53,0,26.03,0,1.01,0.68,0.65,0
 84-94,0,1.47,1,8.17,0,2.08,292.89,0,0.78,0,69.33,8.24,0,0,0.56,0,2.83,8.42,2.35,0,53.51,0,6.12,2.93,252.93,0,1.51,17.57,0,0,10.23,0,1.02,0,9.73,0,1.65,4.98,2.43,8.86
 96-106,0,1.78,0,16.77,14.41,0.95,215.65,0,1.21,0,68.3,0.73,0,0.86,0.59,0,0,7.22,2.91,0,47.13,0,3.37,0,246.11,0,5.34,9.28,0,0,6.55,0,2.01,0,11.04,0,0,1.65,0.8,0
108-118,0,0.54,0,10.72,0,8.9,276.05,2.47,2.26,0,51.82,8.2,0,1.02,4.26,0.46,1.44,5.29,11.72,0,40.74,0.93,1.63,3.98,282.75,0.5,2.96,23.35,0,0,6.02,0,1.04,0,12.93,0.44,0,0,0.42,0.75
120,0,0,0,0,4.03,0,253.13,1.61,0,0,129.07,3.28,0,3.15,8.67,0,0,14.18,2.38,0,34.12,0,1.45,0,362.7,0,5.03,31.13,0,0,0,0,0,0,28.99,0,4.83,3.98,0,0
