stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.74,99.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.74,0,0,0,0,0,0,0,0,0
  5-6,0,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,29.6,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,39.27,4.06,0,0,11.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.54,0,88.62,0,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.26,39.75,0,0,75.12,0,0,0,49.6,7.77,0,0,0,0,0
 14-21,0,0,3.32,1.68,42.8,12.31,3.93,0,0,157.41,5.64,0,0,0,0,0,0,0,0,38.23,0,0,4.85,243.15,23.97,5.78,68.46,18.59,2.77,4.6,12.21,281.55,4.2,572.6,0,0,0,0
 24-34,0,0,4.25,2.39,15.46,2.07,9.19,0.7,1.82,113.24,0.74,0,0,0,0,0,7.95,0,0,18.47,0,0,4.14,240.74,2.43,37.49,29.41,0,0,0,0,71.54,4.85,318.04,0,0,0.62,0
 36-46,0,0,0,0,2.39,0,0.83,0,1.81,88.31,1.78,0,0,0,0,0,3.38,1.99,0,17.77,0,0.77,4.88,155.43,0,42.68,15.73,0,0.66,0,0,30.6,0,136.99,0,0,0,0
 48-58,0,0,1.25,0,8.85,0,23.23,1.46,0.76,103.52,0.82,0,0,0,0,5.18,5.74,2.22,0,45.77,0,2.63,3.45,121.13,0,30.25,14.62,0,0,0,0,12.17,0,154.86,0,0.37,0,0.85
 60-70,0,0,0.6,0,4.2,0,24.34,0,2.07,120.24,3.16,0,0,0,0.61,0,9.59,0,2.53,54.08,0,0,0,90.78,0,40.04,15.37,0,0,0,0,9.69,0,47.35,0,0.69,0,0
 72-82,0,0,7.92,0,4.31,0,21.26,0.5,4.24,122.25,5.05,0,0,0,1.2,0,22.66,0,0,117.68,0,0.75,1.97,69.42,0.5,47.03,56.53,0,0,0,0,6.09,0,40.38,0,0.53,1.32,0
 84-94,0,0,17.71,2.75,5.26,0,17.21,0,0.83,100.12,4.13,0,1.71,0,0,0,26.93,0,0,106.38,0,1.3,3.49,37.29,0,70.43,53.55,0,2.54,0,0,14.34,0,36.15,0,1.47,0.58,0
 96-106,0,0,22.08,2.85,3.1,0,29.28,0,6.02,91.19,8.88,0,1.33,1.86,0.87,0,51.97,4.97,0,68.9,4.83,0,3.24,41.43,0,86.87,81.49,0,0,0,0,10.17,0,53.81,1.23,3.38,0,0
108-118,0,0,7.22,1.45,13.57,0,17.55,0.42,1.59,83.12,2.69,0,0,1.87,0.9,0,23.4,1.09,0,65.13,0,0,0.51,65.8,1.51,62.65,71.13,0,0,0,0,8.31,0,18.89,0.67,0,0,0
120,0,0,3.64,0,4.93,0,13.7,0,0,27.66,2.51,0,0,0,0,0,20.63,0,0,26.58,0,0,3.61,23.18,0,59.35,40.67,0,0,0,0,33.65,0,6.66,0,0,0,0
