stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0
 14-21,0.84,0.96,0.8,0,0,0,1.51,0,1.5,0,0,0,0,4.5,0,1.68,32.55,6.16,0,1.09,0,0,0,3.63,0,0,4.34,15.69,0,0,0
 24-34,0.81,0,2.09,0,0,0,0,0,1.18,0,0,0,0,1.27,0,0.9,44.82,0,2.02,0,0,0,0,0,0,0,0.66,18.15,0,0,0
 36-46,0,0,4.93,3.2,0,0,1.64,0,0,0,0,0,0,2.81,0,0,51,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0
 48-58,3.67,0,11.11,0,0,0,0,0,0,0,0,0,0,0.72,0,5.11,33.68,0,0,0,0,0,0,0,0,0,0,6.13,0,3.85,0
 60-70,0.65,0,16.06,0,0,0,1.81,0,0,0,0,0,0,3.43,0,0,48.29,0,0,0,0,0,2.18,0,0,0,0,11.31,0,0,0
 72-82,0,3.44,10.13,0,0,0,12.83,0,0,0,0,0,0,4.47,0,0,41.33,0,0,1.24,0,0,1.7,0,0,0,0,2.26,0.66,0.77,0.81
 84-94,2.54,10.73,20.16,0,0,0,2.93,0.58,0,0,0.55,0.62,0,13.68,0,0,38.25,0,0,4.72,0,0,4.3,0,0,0,0,10.26,0,2.39,0
 96-106,3.91,2.26,3.57,0,0,0.63,2,0,0,0,1,0,0.68,3.84,0,0,30.19,0,0,0.91,0,0,4.49,0,0.62,0,0,0,0,0,1.33
108-118,0.43,7.67,6.85,0,1.55,0,2,0,0,0.88,0.47,0,0,6.72,2.19,0,34.07,0.67,2,0,0,1.32,0,0,0.87,0.57,0,0.48,0,0,0
120,3.29,0,0,0,1.77,0,0,0,0,0,0,0,0,13.3,0,0,10.53,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0
