stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature,xanthophores
  3-4,262.82,3684.88,0,0,0,0,0,0,0,0,0,0,0,0,171.66,0,0,0,0,0
  5-6,142.4,1834.18,0,0,0,0,0,0,7.31,0,0,66.35,0,8.27,43.12,0,0,0,0,0
  7-9,21.36,31.71,40.77,0,0,54.66,0,0,15.46,0,0,596.33,8.06,194.43,0,12.35,0,0,0,0
 10-12,0,6.4,15.83,0,0,7.41,0,0,17.91,0,0,299.47,20.95,82.69,0,10.42,0,0,0,0
 14-21,0,0,0,2.61,0,0,0,0.81,0,0.9,0,10.32,0,0,0.97,0.99,2.5,2.11,0,0
 24-34,0,0,0,1.62,0,0,0,0,0,4.2,0.63,10.52,0,0,0,0,0,2.49,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.93,0,5.71,0,0,0,0,0,0.63,0,0
 48-58,0,0,0,0,0,2.43,0,0,0,0,0,1.81,0,0,0,0,0,3.23,0,0
 60-70,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.7,0,0,0,1.55,0.75,13.45,0,0,0,0,0,0,1.56,0
 84-94,0,0,0,0,0,7.32,0,0,0,2.36,0,1.13,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.62,1.34,0,0.74,0,0,0,0,3.18,0,0,0,0,0,0,0,0.45
120,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0
