stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,5.72,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.86,0,0,0,0,0,0,79.83,0,0,0,0,15.49,0,7.4,0,0,0,0,3.23,0,2.27,0,0,0,0
 36-46,0,0,0,5.06,0,0,5.95,0,0,0,0,1.39,0,241.25,0,0,14.55,0,32.38,0,3.5,0,1.55,0,0,0.63,0,8.79,0,0,0,0
 48-58,0,0,0,26.14,0,0,4.47,0,0,0,0.53,5.87,0,199.38,0,0.5,6.4,0.4,75.35,0,14.3,0,0,0,0,0,0,0.93,3.68,0,0,0
 60-70,0,2.67,0,72.09,0,0,8.14,0,9.4,0,0,13.4,0,485.16,0,0,0,0,27.12,0,9.02,0,0,0,0,0,0,2.06,1.42,0,0,0
 72-82,0,9.79,0,37.95,0.66,0,20.6,0,0,0,1.12,14.6,0,1052.27,1.42,0,0,6.48,35.77,2,16.53,0,2.88,0,0,2.91,0,0,3.21,9.12,0,6.82
 84-94,0,9.19,0.59,120.02,0,0,12.33,0,0,0.57,0,20.31,0,1367.38,0,0,2.58,2.34,64.03,2.28,11.38,0,0,0,0,13.02,0,0,0,0.63,1.33,0
 96-106,0,4.61,0.64,280.15,13.73,0.63,29.11,0,0.89,1.02,12.61,36.19,0.57,2600.83,0,1.64,0,3.71,41.41,2.82,68.16,0.81,5.16,2.74,0,1.24,0,0,0,0.68,0,0.8
108-118,0,3.81,0.44,267.49,1.31,0.5,13.55,0.92,0,0,2.73,14.82,0,1860.66,0,8.48,0,4.49,54.92,0,28.12,0.58,0,1.26,0,5.36,0,0,1.26,1.88,0,2.22
120,0,0,0,176.78,0,0,27.51,0,0,0,0,13.39,0,1175.09,0,2.12,8.05,1.5,46.04,0,21.25,0,1.54,0,0,3.04,0,0,0,0,0,0
