stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,171.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.47,0,0,14.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.24,0,0,0,8.22,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0.76,6.87,0,0,1.77,0,0,0,0,0.78,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.92,0,5.43,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.61,0,1.28,0,0,0,0,0,2.6,0,0,0.57,46.7,0,0,0,0,0,0,0,1.25,0,0,0
 60-70,0,0,0,0,6.13,0,0,0,0,0,0,0,2.13,0,0,0,75.57,0,2.32,0,0,0,0,0,2.4,0,0,0
 72-82,0,2.15,0,0,36.51,0,1.08,0,0,0,0,0,5.29,0,0,4.25,166.51,0,5.85,0,0,0,0,0,27.36,0,0,0
 84-94,0,3.52,0.78,0,38.4,2.24,2.66,0,0.8,0,0,0,4.6,0,0,0.95,84.25,0,1.05,0,0,0,0,0,6.18,0,0,1.09
 96-106,0,1.54,0,1.05,37.07,1.45,2.46,0,0,0,4.97,0,5.92,1.15,0,0,76.94,0,1.07,0,0,0,0.71,0,2.71,0,0,1.55
108-118,0,5.39,0,0,53.47,4.41,1.38,0,0,0,1.34,0,12.87,0,6.39,3.1,135.68,0,6.45,0,0,0,0.46,0,0,0.84,0.45,1.4
120,0,11.04,0,0,27.45,0,32.24,7.82,0,3.65,0,1.79,7.86,0,0,0,297.04,0,16.79,0,1.22,0,0,0,0,0,0,4.54
