stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,373.04,15291.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.3,0,0,0,0,0,0,0,0,0
  5-6,873.2,47080.28,0,10.71,0,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,492.94,36.98,0,0,190.77,0,380.17,0,0,0,0,0,0,0,0,0
  7-9,7.34,457.74,0,15.95,0,0,0,303.69,0,0,0,0,0,674.68,0,0,0,0,0,0,0,0,0,0,0,16321.01,26.49,0,0,2083.23,0,25.99,29.4,0,0,0,0,0,0,0,0
 10-12,0,19.89,0,11.6,0,0,0,8.71,0,0,0,0,0,77.26,0,0,0,0,0,0,0,0,0,0,0,1569.32,0,0,0,57.69,0,0,11.09,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.07,13.96,0,0,0,0,0,0,0,0,0,56.68,41.56,0,0,1.59,0,0.98,1.15,0,1.09,367.64,0,2.01,0,0,0,1.42,0,4.49,1.85,41.94,0,0,14.97,0,0
 24-34,0,0.83,0,0,1.98,15.94,0,0,0,0,0,0,0,0,13.91,261.75,6.75,0.64,0,0,0,57.43,0,0,39.14,138.43,0,0,0,0,0,2.64,0,0,0,63.64,0,0,296.58,0,0
 36-46,0,0,0,0,2.48,0,0,0.85,0,0,1.14,7.97,0,0,20.38,404.43,0,0,0,0,0,48.34,0,0,20.55,116.71,0,11.56,0,0,0,2.04,0,0,0,60.37,0,0,281.92,0,0
 48-58,0,0,0,0,6.47,10.92,0,12.2,0,0,1.72,39.19,0,0.49,44.68,438.06,0,0,0,0,0,48.69,0,0,7.08,150.39,0,0,1.4,0,0.61,3.77,0,0,0,43.64,0,0,251.71,0,0
 60-70,0,0,0,0,0,6.8,0,17.14,0,0,0,52.27,0,0,13.01,587.92,0,0,0,0,0,31.44,0,0.93,5.06,75.18,0,0,0,0,0.66,4.56,0,0,0,0.72,0,5.44,118.35,0,1.82
 72-82,0,0,0,0,6.3,7.89,0,91.77,3.39,0,1.05,76.83,1.1,0,15.41,704.71,0,0,2.6,0,0,72.26,0,12.3,6.25,187.32,0,0,0,0,3.93,6.28,0,0,0,7.22,0,7.78,277.68,1.64,9.9
 84-94,0,0,0,0,4.1,2.5,0,66.59,0,0,0,62.14,0,0,5.18,1088.38,0,1.97,0,0,0.58,64.22,0,7.35,8.67,151.1,0,0.68,0,0,30.07,13.96,0,0,0,1.33,2.5,3.13,320.58,0,0
 96-106,0,0,1.41,0,7,49.29,0,80.71,0,0,0,53.22,1.93,0,22.94,1353.41,3.05,0,1.75,8.17,0,97.7,0.71,7.95,6.49,185.83,0,4.2,3.02,0,35.38,24.32,0,0,0,3.36,0,6.62,334.15,0.74,0
108-118,0,0,0,0,3.18,12.65,0.5,114.07,0,2.13,4.57,42.49,1.32,0,6.6,1376.86,0.91,0,2.88,0,0,72.31,0.68,5.21,9.82,235.95,0,4.51,1.13,0,29.75,17.34,0,0,0,10.78,0,2.55,249.12,0.65,0
120,0,0,0,0,12.85,22.62,1.09,74.55,0,0,0,59.75,0,0,8.68,2444.03,2.21,0,0,0,0,87.3,0,15.97,2.53,214.47,0,2.74,0,21.93,0,10.62,0,0,0,5.78,0,2.09,289.44,0,0
