stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,3.78,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.79,0,0,0,12.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,4.3,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,3.16,0,0,7.86,0,0,0,3.29,0,0,4.47,0,0,0,0
 14-21,0,0,0,0,6.59,0.84,0,1.12,0,0,0,1.87,0.85,2.36,0,0,0,0,0,0,7.62,0,0,4.25,45.4,6.35,0,0,2.45,0,4.88,2.29,0,5.65,12.23,16.16,0,0,0,0
 24-34,0,0,0,0,3.6,0,0,9.58,0,0,0,0.6,1.01,0,0.87,0.61,0,0.63,0.69,0.71,8.83,0.86,0,12.24,157.98,4.76,4.07,0.63,0,0,10.57,0,1.96,1.55,3.67,27.29,0,0,1.57,0
 36-46,0,0,0,0,3.15,0,0,25.81,0,0,0,6.78,0,0,0,0,0,3.76,0,0.89,12.12,0,0,2,166.85,0,1.73,1.42,0,0,32.97,0,0,0,0,31.61,0,0,0.87,0
 48-58,0,0,0,0,0,0.45,0,70.71,1.52,2.44,0.47,24.76,0.38,0,0,0,0,0,0,0,22.47,6.79,0,6.92,226.43,6.94,2.26,0.42,0,0,24.25,0,0,1.71,0,53.43,0,0.49,4.74,0
 60-70,0,0,0,0,6.56,0,0,103.16,0,0,0,14.55,0,0,0,0,0,3.85,0,1.64,31.99,0,7.01,2.75,211.68,1.69,0,0.65,0,1.22,15.6,0,0.97,2.84,0,41.65,0,0,0.85,1.46
 72-82,0,0,0,0,1.18,0,0,79.84,0,0,0.84,9.63,0,0,0,0.53,0,0.79,0,0,37.87,0,0,3.47,138.44,0,0,5.58,0,0,12.95,0,0,0,0,9.28,0,0.87,6.46,2.31
 84-94,0,0,0.56,0,2.85,15.81,0.92,54.66,0,0.6,2.81,13.37,1.37,0,1.96,0,0.75,0,0,0,22.53,6.09,0,0,92.56,0,0,4.54,0,0,13.27,0,0,0,0,5.62,0,3.55,6.67,0
 96-106,0,0,0,0,7.89,7.46,1.85,22.64,0,0,10.35,1.65,0.61,0,5.35,0.85,0,0,0,0,11.72,0,0.88,1.25,89.79,0,3.89,1.32,0,1.44,15.68,0,0,0.6,0,5.23,0,0,0,0
108-118,0,0,0,0,3.74,0,3.5,63.2,0,2.13,0,12.74,0.51,0,5.19,0,0.86,0.65,4.58,0,19.97,0.49,0,0.9,74.23,0,4.95,0.42,0,0,10.63,0,0,0,0,6.81,1.39,0,1.99,0
120,0,0,0,0,1.6,0,4.07,20.81,0,0,1.6,25.52,0,0,1.47,0,0,0,0,0,1.36,0,0,0,60.37,0,0,4.64,0,0,2.46,0,0,0,0,4.47,0,0,0,0
