stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,246.19,5924.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.79,0,0,0,0,0,0
  5-6,272.03,4700.47,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.26,11.17,0,0,15.73,96.12,0,0,0,0,0,0
  7-9,22.94,71.29,38.63,0,0,188.01,0,0,0,43.18,0,0,0,0,0,0,0,1732.41,18.44,0,0,480.54,4.34,50.08,0,9.82,0,0,0
 10-12,0,3.1,29.42,0,4.74,33.57,0,0,0,13.44,0,0,0,0,0,0,0,350.12,3.05,0,0,45.06,0,5.47,0,9.1,0,0,0
 14-21,0,0,0,7.92,1.68,7.23,0,0,0,0,0,0,2.45,0,0,2.06,0,66.1,0,1.58,6.56,1.06,9.84,6.48,1.92,0.85,0,4.59,13.97
 24-34,0,0,0.76,7.49,0,12.01,0,1.67,0,0,0,0,4.37,0,0,2.2,0,46.01,0,8.61,5.98,0,16.63,1.29,0,0,0.66,0,11.36
 36-46,0,0,0,2.89,0.61,16.81,0,2.17,0,0,0,0,0,0,5.03,1.36,0,34.62,0,4.15,0,0,18.74,8.39,0,0,0,0,9.14
 48-58,0,0,0,0,0,11.73,0,0,0,0,1.74,0.47,0,0,0,0,0,28.94,0,0.77,0,0,0.4,0,0,0,0,0,0
 60-70,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,12.66,0,0.96,0,0,4.41,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.37,0,1.13,0,0,0,0,0,0.68,0,2.08,0,6.4,0,1.41,0,0,1.29,0,0,0,0,0,0
 84-94,0,0,0,0.75,0,4.66,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.74,0,1.22,0,0,1.93,0,0,0,0,0,0,0,1.23,17.73,0,4.38,0.57,0,2.95,4.45,0,0,0,0,0
108-118,0,0,1.47,0.44,0.96,7.69,0.73,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0.98,0,4.3,2.05,0,0,0,0,0
120,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,5.01,0,1.61,0,0,1.26,1.53,0,0,0,0,0
