stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,20.57,0,0,0,21.63,4.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79,7.41,0,0,3.25,3.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.01,0.92,0,0,0,0,0,0,0,1.35,0,0,0.81,0,0,0,0,0,0,0,7.34,0,0,0,1.02,445.98,2.24,3.97,2.58,0,29.5,2.85,0,0,0,0,0
 24-34,0,0,0.76,0.76,0,0,0,0,0,0,1.07,1.99,0,0,0,1.85,0,0,0,2.62,3.65,0,0,26.68,0,0,2.23,0,399.79,0,0,0.63,0,0,4.59,0,0,0,0,0
 36-46,0,0,0,7.17,0,0,0.77,0,3.44,0,0,1.04,0,0,0,0,0,0,0,1.85,0,0,0,26.43,1.19,3.19,0,0,580.08,0.91,0,0,0,0,2.13,0,0,0,0,2.25
 48-58,0,0,0,1.69,0,0,2.33,0,4.47,0.42,0.52,2.86,1.21,0,0,2.62,0,0,0,2.84,0.66,4.37,0,24.47,0,9.65,1.02,0,296.1,0,0,6.16,0,0,6.59,0,0,0,0,0.88
 60-70,0,0.86,0,2.01,0,0,16.41,0,1.21,0,0,1.84,1.65,0,0,0.58,0,0,0,1.52,6.51,0,0.77,27.15,10.7,6.44,2.68,0,328.01,0,0,0,0,0,0,0,0,2.53,0,0
 72-82,0,5.13,0,6.43,0,0,2.55,1.1,3.06,0,1.31,16.28,0.83,0,4.71,13.03,0,0.92,2.79,3.06,1.43,14.63,0.58,18.13,0,4.83,0,0,302.27,0,0,1.63,0,0,0,0,0,1.23,0.6,0
 84-94,0,0.81,0,14.03,0,0,0.89,0,7.87,0,0.86,21.92,3.52,0,6.46,24.89,0,0,3.36,3,4.16,24.26,0,43.66,0.61,29.17,0,0,683.61,0,0,4.45,0,0,0,0,0,0,2.8,0
 96-106,0,5.25,0,33.56,5.84,0,7.42,0,10.58,0.63,5.78,39.68,0,0,6.39,45.53,0,0,4.41,21.37,5.92,6.92,0,33.54,0.64,23.52,1.07,0,776.59,0,0,1.49,0.6,0,0,0,0,0.92,10.17,11.54
108-118,0,3.89,1.69,30.95,2.47,0.53,32.95,0,12.1,0.49,3.79,59.29,0,0,3.98,27.23,0.91,0,9.87,6.67,4.26,65.09,2.81,27.98,0.43,23.76,1.71,0,605.97,0,0,3.46,0,0,4.31,1.33,3.45,0,14.12,0
120,0,3.73,0,29.21,0,0,1.01,0,21.15,0,13.09,47.53,0,4.47,4.39,27.08,0,0,23.35,5.07,2.05,86.3,0,26.68,0,16.72,0,0,431.68,0,0,2.74,0,0,0,0,0,0,22.8,0
