stage,endoderm,immune,mesenchyme,neural,paraxial.mesoderm
  7-9,0,0,0,0,14.11
 24-34,0.76,0,0,0,0
 72-82,0,0.87,0.65,0,0
 84-94,0,0.62,0,0,0
 96-106,0,4.52,2.96,0,0
108-118,0,4.08,0,1.32,0
120,0,12.34,0,0,0
