stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.44,1031.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.13,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.85,1074.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0,0,0,9.77,0,14.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.73,54.69,0,25.74,0,0,65.49,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,546.4,24.83,0,0,208.7,0,0,11.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.93,0,57.17,0,0,151.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.77,29.31,0,0,282.18,0,0,0,0,13.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,20.75,11.26,8.35,0,0,17.52,0,2.04,0,0,2,0,0,0,0,21.18,0,0,9.1,143.93,0,3.78,5.58,2.7,0,0,0,27.42,8.77,0,11.62,92.99,0,0,0,0,4.03
 24-34,4.02,0,0,1.41,4.28,2.78,17.95,0,1.48,13.37,1.49,0,0.67,0,0,0,0,0,0,22.15,0,0,15.97,276.89,0,5.05,2.22,0,0,2.43,0,0,1.64,0,9.08,86.37,0,0,10.66,0,0
 36-46,0,0,0,0,3.27,0,66.1,0,0.81,10.49,0.72,0,1.34,0,0,0,0,1.46,0,34.53,0,0.77,20.72,410.6,0.73,10.27,9.36,0,0,0,0,0,1.03,0,0,92.28,0,0,1.55,0,0
 48-58,0,0,0,0,8.96,0,129.85,0,0,15.08,0,0,0.58,0,0,2.34,0,0,0,59.22,0,0,7.18,408.44,0,4.8,3.96,0,0,12.19,0,0,0.38,0,0,77.59,0,1.3,5.36,0,0
 60-70,0,0,0,0,7.83,0,225.41,0,0,8.26,0,0,0,0,0,0.67,0.66,1.37,6.22,46.63,0,2.35,7.56,329.78,0,4.11,5.44,0,0,3.63,0,0,0,0,0,60.64,0,0.9,0,0.64,10.31
 72-82,0,0,0,0,11.88,10.25,212.98,1.99,3.05,19.32,0,0,0,0,0,3.88,0,0,0,51.6,0.96,0.75,4.27,242.09,0,24.76,1.14,0,0,2.35,0,0,0,0,0,19.09,0,0.49,5.85,2.7,0
 84-94,0,0,1.26,0,4.38,8.72,149.02,0,1.12,10.37,4.03,0,6.26,1.89,1.02,1.3,0,0,0,43.24,0,0.69,4.4,235.47,0,8.22,2.5,0,0,3.32,0,0,1.77,0,0,22.78,0,1.22,0.8,2.83,0
 96-106,0,0,2.08,0,8.56,5.41,111.99,0.58,0.6,22.26,0,0,0,2.18,1.6,0,2.8,0,0,47.37,0,2.17,5.79,118.42,0,20.92,8.36,0,4.17,7.23,0,0,3.43,0,0,13.51,0,0.9,4.86,0.87,8.23
108-118,0,0,0,0,11.33,3.64,60.78,0,6.51,23.15,4.57,0,2.67,1.12,0.74,5.08,0.49,0.43,0,52.76,0.64,5.83,7.35,163.33,1.2,9.26,9.92,0,0,0.53,0,0,1,0,0,20.74,2.22,0.81,1.34,0,1.16
120,0,0,0,0,5.14,12.25,126.3,0,8.21,25.8,0,0,0,1.97,0,0,4.64,2.78,0,47.07,0,13.97,1.46,279.46,0,7.81,16.53,0,0,1.1,0,0,1.12,1.6,0,15.78,0,6.44,0,3.44,0
