stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.97,7.09,0,0,38.92,0,0,0,0,4.94,0,13.1,0,0,0,0,0
 14-21,0,9.94,17.47,0,0,0,0,0,2.31,0,2.22,0,0,0,0,0,0,11.77,0,0,28.53,20.11,26.17,0,0,2.05,0,0.97,0,26.26,10.61,536.78,365.23,11.47,0,28.33,0,0
 24-34,0,11.06,3.45,0,13.26,210.3,0.59,2.06,1,0.66,11.07,2.3,0.79,0,0,0.61,0,53.39,0,0,129.69,117.46,3.57,0,0,0,0,6.56,0,0,11.73,227.53,223.11,17.71,0,42.62,0,1.68
 36-46,0,4.34,0.81,0,10.77,250.86,0,10.33,10.48,0,3.29,10.99,0,0,0,0,0.97,52.42,0,0,64.89,81.81,8.25,4.05,1.66,7.09,0,1.08,0.81,0,6.65,101.45,17.19,9.33,0,24.5,0,0
 48-58,0,3.6,0,0,34.25,71.91,0.89,17.55,7.55,0,0,5.26,0,0,0.54,0,0,56.32,0,1.51,55.29,67,0,2.09,1.64,0,0,0,0,0,0,39.63,0,17.79,0,18.59,0,1.04
 60-70,0,1.53,0,0,148.94,51.89,0,11.62,3.56,0,0.93,3.34,1.28,0,0,0,0,79.94,0,0,32.15,54.78,3.96,0.92,2.18,1.62,0,6.17,0,0,1.12,32.5,0,3.07,1.5,28.89,2.15,0
 72-82,0.68,4.18,2.86,0,185.42,43.23,1.28,9.12,5.33,0.67,4.33,8.21,0,0,8.97,0,0,91.22,0,4.09,31.21,40.1,1,0.74,1.29,0,0.77,1.89,0,0,0,11.98,0,1.79,0,28.5,1.94,3.38
 84-94,0,3.11,1.88,0,217.97,59.24,10.84,22.45,12.73,1.87,3.65,12.59,2.63,0,0.65,0,10.55,107.49,0,3.06,23.32,47.73,0,1.48,4.73,0,1.31,1.22,0,0,1.56,10.86,0,0.67,1.36,21.46,1.63,0
 96-106,1.05,3.3,13.86,1.14,178.15,34.2,0.58,17.47,6.62,0.9,1.98,20.25,0.75,0,3.12,7.09,7.05,88.11,3.47,12.14,19.58,12.44,0,2.09,11.21,0,3.88,6.93,0,0,1.8,13.56,0,10.91,0,12.45,2.95,2.98
108-118,3.13,4.68,9.74,1.27,148.44,43.1,0,4.45,9,2.29,0.88,17.77,3.23,2.31,1.06,2.48,2.53,73.65,0,9.99,39.87,46.8,3.54,0,9.79,0,4.69,0,0,0,2.21,9.7,0,5.07,0.6,29.15,7.88,0
120,1.37,8.56,0,0,240.87,24.88,0,22.44,5.79,6.39,0,21.28,0,4.53,3.86,3.16,1.33,100.12,0,20.11,23.85,13.75,2.59,0,8.56,0,0,0,0,0,2.13,9.31,0,0,0,25.03,2.27,4.77
