stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,10.97,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.88,0,0,0,0,0.85,1.72,0,0.83,4.58,0,0,0,0,0,0,5.08,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.91,0,2.53,2.95,0,0,0,0,0.72,0,8.11,0,0,0,0,0
 36-46,0,1.32,0,0,1.6,0,0,0,0,0,0,9.97,0,0,2.56,0,0,0,0,0,0,0.98,0,0,0,0,0
 48-58,0,0,0,1.27,0,0.42,0,0,0,0,1.32,6.17,0,0.83,9.02,0,0,0,0,0,0,0.79,0,0,0.47,0,1.14
 60-70,0,0.58,0,3.47,0,0,0,0,0,0,0,0.8,0,0,0.61,0,0,3.1,0,0,0,0.83,0,0,0,0,0
 72-82,0,0.63,0.68,4.91,0,0,0,0,0,0,0,2.5,0,1.08,4.95,0,0.51,1.07,0,0,0,1.94,0,0.57,0,0,0
 84-94,0,0,0,0,0,1.42,0.57,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0.81,0
 96-106,0,0.96,0,8.88,0,1.76,0,0.93,0,0,0,10.79,0,0,4.28,0,0,0.62,0,0,0.57,0.64,0.59,0,0,0,0
108-118,0,3.08,0,0,0,1.17,0,0.8,0.93,0.64,0,2.69,2.01,0.54,5.12,0.54,0,0,0,0,0,0,0,0,0,1.52,0
120,0,1.6,0,1.86,0,0,0,0,0,0,0,7.45,0,1.7,4.81,0,0,0,0,0,0,0,0,0,2.75,0,0
