stage,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,16.52,3.86,0,0
 10-12,0,0,0,0,0,0,9.98,0,0,0
 14-21,0.9,0,1.2,0,0,1.08,5.79,0,2.08,0
 24-34,0,0,0,0,0,0,9.8,0,0,0
 36-46,0,0,0.68,0,0,0,1.45,0,0,3.18
 48-58,0,0,0,0,0.48,0,4.46,0,0,0
 60-70,0.71,0,0,0,0,0,0,0,0,0
 84-94,0,0.67,2.46,0,0,0,0,0,0,0
 96-106,2.87,0,0,0.62,0,0,0,0,0,0
108-118,1.86,0,0,0.53,0,0,0,0,0,0
