stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,3.76,0,0,0,0
 24-34,0,1.23,0,0,0.87,0,0,0,0,0,0,0,57.59,0,0,0,0,0,31.12,0,0,0,0
 36-46,0,0.85,0,0,10.36,0,0,0,0,0,0,0,237.02,1.48,0,0,0,0,57.45,0,1.59,0,0
 48-58,0,0.46,0,0,54.84,6.72,0,0,0,2.56,0,0,496.53,0,0,0,0,0,127.82,0,0,0,0
 60-70,0,0.62,2.17,0,450.21,18.12,0,0,0,0,2.56,1.08,838.45,0,0,0,0,0,109.29,0,0,0,0
 72-82,0,0,7.5,1.38,528.12,47.81,0,0,0,0,9.28,0.73,774.48,0.54,0.76,0,0,0,98.75,0.52,0.75,1.46,4.75
 84-94,0,0,9.17,0,272.41,26.42,3.33,0,0,0,1.02,0,713.96,0,0,11.3,0,0,99.87,0,0.78,0.62,0
 96-106,0,0,3.47,0,360.67,22.1,0,0,0,0,5.96,4.25,492.12,2.04,0.59,0,0,0.57,24.41,0,0,0,0
108-118,0,0,13.18,2.71,257.76,21.57,0.71,0,2.94,0.68,7.77,0,579.67,0,0,4.79,0,0,24.84,0,0,0,0
120,0,0,6.68,0,326.53,30.55,0,0,0,0,12.57,0,1182.23,0,7.82,3.23,0,0,66.81,0,0,0,0
