stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.79,0,0,0,0,0,0
  5-6,13.04,101.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0
  7-9,0,0,5.77,0,0,0,0,0,0,0,0,3.57,0,0,0,0,26.41,0,0,19.8,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,43.38,0,0,4.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.1,0,0,0,0,0,4.03,0,0,0,0,0,0,48.36,0.8,0,0,0,0,0,0,15.72,0,0,0
 24-34,0,0,0,0,0,0,2.99,0,0,3.74,0.66,0,0,0,0,0.74,62.88,0.67,0,0,0,0,0,0,23.06,0,0.64,0
 36-46,0,0,0,0,0,0,7.65,0,0,3.47,0,0,0,0,0.81,0,46.07,0.71,2.29,0,0,0,0,0,25.17,0,3.52,0
 48-58,0,0,0,0,0,0,25.69,0,0,14.88,0,0,0,0,2.18,0,31.83,0,0,0,0,1.58,0,0,17.18,0,26.06,0
 60-70,0,0,0,0,0,0,22.87,0,0,154.41,0,0,0.81,0,11.98,4.64,40.07,0,0.62,0,0,0,0,0.6,21.19,0,24.29,0
 72-82,0,0,0,0,0,0,77.53,0,1.88,183.66,0,0,0,0,9.23,0.53,67.22,0,0,0,0,1.41,0,0,26.51,0,75.08,0
 84-94,0,0,0,3.57,5.26,0,86.79,0,0,136.31,1.48,0,0,0,11.42,0,32.11,2.33,0,0,0,0,5.6,0,19.32,0.85,58.07,0
 96-106,0,0,0,2.21,0,0,81.21,0,0.82,220.57,0,0,0,2.22,12.34,0,27.3,0,0,0,0,4.92,0,0,21.44,0,87.45,1.96
108-118,0,0,0,3.07,0,0,60.51,0,0.66,170.84,0.68,0,0,1.21,12.83,0.56,108.11,6.4,0,0,13,0,0,0,36.29,0,57.73,3.34
120,0,0,0,5.5,0,1.14,185.01,2.08,0,268.59,0,0,0,0,30,0,58.93,1.93,0,0,0,0,0,0,36.48,0,22.51,0
