stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,taste,vasculature
  3-4,10.06,210.86,0,0,0,0,0,0,0,0,0,0,20.13,0,0
  5-6,0,190.74,0,0,0,0,0,0,0,0,0,0,7.63,0,0
  7-9,0,0,0,0,0,0,0,0,26.12,0,0,8.02,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,9.68,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,14.44,0,0,0,0,0,0,0,0
 48-58,0,0,0,7.26,0,0,24.68,0,6.34,0.49,0,0,0.52,0,0.52
 60-70,0,0,0,45.65,0,0,23.77,0,1.01,0,0,0,0,0,0
 72-82,0,0,2.81,146.24,0.56,0,51.93,0,0,0,0,0,0,1.87,2.12
 84-94,0,0,0,97.4,0,0,59.67,0,0,0,0,0,0,8.1,0
 96-106,0,0,0,148.59,3.07,0,53.5,1.72,7.7,0,0,0,0,0,0.59
108-118,0,0,0,103.15,0,0.45,75.97,0.64,14.96,0,0,0,0,5.95,0
120,0,0,0,36.66,1.61,0,66.61,0,25.73,0,1.02,0,0,5.65,3.59
