stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,54.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.56,280.13,51.3,0,0,0,0,0,0,0,0,0,0,88.44,0,0,0,8.03,23.93,0,0,0,0
  7-9,12.75,33.15,35.98,0,0,0,0,0,0,8.97,0,0,0,23.28,0,0,0,126.61,0,0,0,0,0
 10-12,0,0,25.36,0,0,0,0,0,0,3.5,0,0,0,36.78,48.98,0,0,61.52,0,11.13,0,0,0
 14-21,0,0,0,0.87,0.83,0,0,7.14,0,0,0,0,0,17.35,0,0,0,0,0,0,17.07,0,0
 24-34,0,0,0,0,0,0,0,8.51,0,0,0,0,0,32.22,0,0,0,0,0,0,10.34,0,1.68
 36-46,0,0,0,0,0,0.97,0,3.22,0,0,0,0,0,16.69,0,0,0,0,0,0,4.36,0,0
 48-58,0,0,0,0,0,0.49,0.55,2.16,0,0,0,1.38,0.76,14.81,0,0,0,0,0.67,0,0.59,0.51,0
 60-70,0,0,0,0,0,0,0,0.64,0,0,0,4.33,0.88,20.24,0,0,0,0,0,0,4.34,0,0
 72-82,0,0,0,0,0,8.47,0,14.66,0,0,0,3.84,0,15.86,0,0,2.41,0,0,0,2.48,0.52,0
 84-94,0,0,0,0,0,11.59,0,13.85,0,0,2.06,0,0,6.38,0,16.31,0,0,0,0,1.15,0,0
 96-106,0,0,0,0,0,0,0,14.41,0.62,0,0,4.51,0,4.97,0,6.61,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0,0,18.46,0,0,0,0.47,0,3.45,0,16.16,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,23.52,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0
