stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.69,0,4.37,0,0,2.73,0,0,0,0.92,0,0,0,0,0,0,0,0,0,2,0,0,0,324.92,0,0,0,0,0,1.11,0,0,0,265.85,0,0,0,0,0
 24-34,0,0.7,8.9,0,0,13.73,0,0,0,2.55,0,0,0,0,0,0,0.6,0,0,9.26,0,0,4.35,3714.97,0.85,3.35,0.64,0,0.68,0,4.06,1.01,0.63,960.48,0,0,0.93,0,0.93
 36-46,0,0,18.06,0,0,56.06,0,1.39,1.14,21.3,0,0,0,0.73,0,0.57,0,0,0,5.54,0,0.89,10.87,9571.6,0.68,6.04,0,0,3.25,0,0,1.84,0,1642.62,0,0,10.74,0,7.38
 48-58,0.84,0,35.84,0.48,0,830.52,1.38,7.3,1.84,109.69,0,0,0.83,1.43,13.4,7.78,0,0.43,12.35,97.53,0.7,0.44,30.72,15431.55,0.99,3.8,2.26,0.61,21.45,0,0.49,10.26,0,2131.03,0,0,10,0,19.84
 60-70,0,0,35.24,0.67,0,2439.6,1.41,2.35,1.86,149.8,1.82,0,0.93,8.7,0,6.5,0,0,0,79.58,3.18,16.11,13.29,18223.51,1.21,4.41,0.78,0,10.85,0,0,4.11,0,2122.58,0,0,23.1,0.89,10.76
 72-82,4.75,0,55.11,22.4,0,3536.48,1.84,0.66,2.5,220.29,8.4,0,0.89,1.27,0.89,5.83,0.66,10.07,0,127.08,1.31,9.87,2.29,16499.64,0,7.86,3.45,4.14,18.06,0,0.73,0.79,0,1546.53,1.21,0.78,18.56,0.49,43.13
 84-94,1.78,0,78.19,6.04,0,2342.19,0,1.59,4.64,148.15,3.88,0.91,3.11,2.75,1.25,9.8,1.38,4.62,16.8,120.44,2.47,6.32,9.46,9968.87,0.65,4.17,4.44,0,24.14,0,0.94,0.63,0,905.16,2.5,4.92,9,0.62,0
 96-106,1.72,0,82.32,60.56,0,2054.71,9.2,1.63,1.06,130.59,5.39,0,0,4.46,3.76,0,1.95,22.49,0,57.2,0,0,4.61,8109.84,0.62,14.79,2.36,1.51,24.21,0,0.68,1.91,0,468.07,7.43,2.46,19.17,2.55,9.54
108-118,1.11,0.74,65.44,11.96,1.13,1814.48,1.3,2.46,2.19,111.98,5.21,0,0,2.65,0,2.02,2.45,3.51,0,81.07,3.84,1.21,1.34,8924.11,0,5.7,6.12,0,6.77,0,0,0,0,373.18,5.65,0.45,7.28,1.61,2.99
120,0,0,75.17,13.37,0,2344.07,6.87,3.54,0,218.68,10.13,0,0,13.73,6.3,15.99,0,8.25,0,143.22,0,0,14.34,13300.99,6,3.09,0,5.46,16.95,0,0,0,0,522.62,0,0,11.18,0,13.4
