stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.08,74.19,26.24,33.6,0,0,0,16.65,5.99,2.56,0,0,5.98,0,0,1.46,0,41.69,0,0,24.22,581.34,9.3,1.13,9.49,12.4,0,3.86,2.02,113.31,4.1,3.87,53.86,137.87,0,0,1.02,0,0
 24-34,0,0.59,13.89,5.26,122.12,0.72,2.15,1.99,25.12,4.12,0,1.56,0.67,2.12,0,1.77,0.79,4.27,88.94,0,0,32.54,1009.67,4.22,3.03,12.53,0,0,16.17,0,0,2.86,0.95,11.77,194.99,0,0,6.26,0,3.89
 36-46,0,1.19,11.98,0,311.66,0,0,2.07,49.85,2.79,0,0.56,2.63,0,0.56,0.95,1.5,19,102.87,0,2.08,35.76,1168.44,0.64,7.55,1.14,0,0,12.2,1.49,10.24,13.82,8.59,0,227.9,0,0,7.33,0,0
 48-58,0,0.41,19.62,1.36,506.62,0,1.12,10.63,75.72,3.77,0,4.14,1.37,0.39,1.19,1.23,0,3.39,138.03,0.53,2.8,43.96,779.79,5.81,13.1,1.96,0,0,21.21,0.56,0,0.45,0,0,146.01,0,0,5.54,0,5.17
 60-70,0,0,21.14,11.18,510.92,0,2.38,9.56,56.38,4.16,0,0,12.64,0,6.39,0,4.05,0,144.18,0,2.53,15.89,507.87,4.12,15.39,0.72,0,0,5.37,0.64,0,1.72,0,0,47.42,0,4.52,6.64,0.98,3.97
 72-82,0,0,13.69,2.52,244.35,0.59,4.97,4.46,33.87,4.63,0,0.5,1.79,1.29,0.79,1.33,1.54,0,125.3,0,4.18,16.69,301.59,0,6.04,7.23,0,0.89,18.48,0,0,0,0.53,0,23.46,1.3,2.56,22.36,2.22,7.53
 84-94,0,0,13.03,1.45,200.83,0.76,1.58,7.1,40.36,13.75,0,0.6,9.94,2.98,1.98,1.36,0,0,89.65,0,17.9,15.22,207.38,0,5.32,1.88,0,0.83,27.63,0,0,1.86,0.73,0,20.26,0.74,4.03,8.44,1.17,1.21
 96-106,1.19,0,16.82,17.24,187.49,1.67,0,10.87,38.38,2.29,0,2.4,18.44,2.89,0,6.06,0.73,0.98,98.89,1.13,0.93,11.4,154.68,0.87,17.3,4.22,0,0.81,20.67,0,0,4.54,0,0,2.24,2.44,0.72,20.28,1.64,6.82
108-118,0,0,14.77,3.24,117.49,1.21,1.85,1.21,24.08,3.44,0,0,14.07,1.48,1.63,0,11.45,0.53,75.62,0,2.65,17.34,217.25,1.15,1.52,2.67,0,0,11.84,0,0,1.22,0,0,0.52,2.37,2.95,9.22,1.3,3.01
120,0,0,58.31,38.87,70.18,0,2.27,5.77,37.48,3.11,0,0,28.71,0,0,0,0,0,89.08,1.12,0,8.62,211.26,8.16,0,11.36,0,0,13.66,0,0,1.14,0,0,0,0,0,20.29,4.27,0
