stage,endoderm,eye,gut,mesenchyme,neural,pronephros,slow.muscle
 10-12,0,6.9,0,0,21.26,0,0
 14-21,0,0,0,0.9,1.03,3.55,0
 24-34,0,0,0,1.07,0,1.04,0
 48-58,0,0,0,0,0,0.79,0.62
 84-94,0,9.04,0,0,0,0.74,0
 96-106,0,0,1.67,0,0,0,0
108-118,0.95,0,2,0,0,0.46,0
