stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  5-6,40.63,0,0,0,0,0,0,0,32.59,0,0,11.07,0,0,0,0
  7-9,0,0,0,0,0,0,3.22,0,32.71,0,7.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,44.97,0,0,0,0,0,0,0
 14-21,0,2.06,0.94,0,0,0,0,0,2.24,0,0,0,0.91,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0.6,1.06,0
 36-46,0,1.92,0,0,0,0,0,2.07,2.75,0.6,0,0,0,0,2.71,3.9
 48-58,0,0,0,0,0,0.79,0,1.02,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.82,0,0,0,0,2.07,0,0,0,0,0,0,0
 72-82,0,0.5,0,0,0,0,0,0,9.27,0,0,0,0,0,0,0
 84-94,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.24,0,0.9,0,0,0,2.74,4.56,0,0,1.66,0,0,0,1.55
108-118,0,0.85,0,0,0,0,0,0,0,1.27,0,0.78,0,0,0,0
120,0,0,0,0,6.38,3.99,0,0,0,0,0,1.91,0,0,0,0
