stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,vascular_smooth_muscle,vasculature,xanthophores
  3-4,57.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.14,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0
  7-9,0,0,9.76,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0
 10-12,0,0,57.33,0,0,0,0,0,297.17,9.05,0,0,0,0,0,0,0
 14-21,0,0.88,8.27,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0
 24-34,0,0,41.98,0.72,0,0,0,0.97,11.49,0,0,0,0,0,0,0,0
 36-46,0,0,24.22,5.63,0,0,0.58,0,8.92,0,0,0,0.99,0,0,0,0.7
 48-58,0,3.65,29.85,0.96,0,0,0,0,11.97,0,0,0,0.91,0,0,0,0
 60-70,0,0,55.93,0,0,3.6,4.09,0,3.58,0,0,0,3.87,1.91,1.03,0,0
 72-82,0,1.06,22.1,0,1.1,4.52,2.2,0,2.9,0,0,0,0,0,0,0.5,5.57
 84-94,0,1.41,10.08,0,0,1.56,0.65,0,0,0,0,0,0.99,0,0,0,0
 96-106,0,0,21.49,0,1.02,8.57,2.94,0,0.6,0,1.87,0,0,0,0,0,0
108-118,0,3.13,27.47,0,0,16.82,7.31,0,0.67,0.51,0,0,0,0,0,0,1.94
120,0,12.89,27.75,0,0,5.67,3.09,0,1.34,3.06,0,0,0,0,0,0,0
