stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,176.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.59,0,0,0,0,0,0
  5-6,8.91,46.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,37.79,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0,0,6.4,8.63,0,0,0,0,0,0
 10-12,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,0,4.2,4.52,0,0,0,0,0,0
 14-21,0,0,0,0,0.88,1.27,1.06,0,23.95,0,0,0,0,0,0.8,0,10.04,1.74,0.97,0,0.92,1.09,11.12,41.93,0,0,0
 24-34,0,0,0,0,0,0,0,0,32.15,0,0,0.65,0,0,0.79,0,44.75,17.08,5.78,0,1.02,0,20.49,62.88,0,0,0
 36-46,0,0,0,0,0,0,1.9,0,25.82,0,0.65,0,0,1.44,0,0.72,57.81,21.64,0.8,0,0,0,19.69,49.89,0,13.18,0
 48-58,0,0,0,0,0,0,0.49,0,43.82,0,0,0,0,0,4.27,0,53.72,26.76,2.44,0,0,0,12.42,57.95,0,0,0
 60-70,0,0,0,0,0,0,12.32,0,37.37,0,0,0.77,0,0,0,0,59.66,23.56,2.21,0,0.64,0,1.72,14.13,0,0,0
 72-82,0,0,1.48,0,0,0,5.39,0,44.52,0,0,0.86,0,0,3.02,0,122.71,45.82,4.29,0,5.32,0,1.14,41.18,0,0,1.28
 84-94,0,0,0,0,0,0,12.88,0,50.1,0.66,0,1.85,0,0,4.02,0,56.69,50.66,17,0,1.56,0,4.49,24.64,1.15,0,0
 96-106,0,0,0,0,0,1.5,2.35,0,77.77,1.02,0,3.61,0,0,5.28,0,49.75,54.3,14.49,0,0,0,1.62,26.24,0,0,0
108-118,0,0,0,0.59,1.32,0,5.12,0,44.19,0,0,1.92,0,0,0,0,48.25,47.34,20.81,0,0,0,2.97,11.5,0,1.17,0
120,0,0,0,0,0,0,6.74,4.91,95.49,0,0,10.45,5.59,0,26.96,0,140.61,54.4,37.31,0,1.36,0,22.7,18.66,0,0,0
