stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,16.48,10.97,0,4.54,0,0,0,0,0,136.47,4.44,15.97,0,0,0,0,0,0,0
 10-12,0,6.72,0,0,7.15,0,0,0,0,0,51.19,5.7,14.87,0,0,0,5.34,0,0,0
 14-21,0,0,0,0,1.96,0,0,0,1.95,0.85,3.76,0,0.92,0,0,13.09,0,5.06,12.31,5.54
 24-34,0,0,0,0,1.85,0,0,0,4.69,2.52,3.66,0,0,0.61,0,0,0,0,3.27,1.44
 36-46,0,0,0,0,4.42,0,0.59,0,5.07,0.82,3.76,0,0,0,0,0,0,0,0,3.96
 48-58,0,0,0,0,0.74,0,0,1.84,6.65,0,4.01,0,0,0,0.56,0,0,0,0,1.32
 60-70,0,0,0,2.13,3.54,0,0.61,0,3.36,0,4.18,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.55,0,0.73,0,2.4,0,8.82,0,0,0.54,0,0,0,0,0,0
 84-94,0,0,0,0.66,4.73,0,3.22,0,5.6,0,0.79,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.67,2.84,0,4.41,0,4.06,0,15.29,0,0,2.23,0,0,0,0,0,0
108-118,0,0,0,0,2.59,2.08,1.62,0,3.37,0.64,7.19,0,0,0,0.79,0,0,0,0,0
120,0,0,0,0,0,2.1,0,0,2.09,0,6.84,0,0,0,3.83,0,0,0,0,0
