stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.16,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,46.91,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.36,0,0,0,28.56,0,9.04,0,0,5.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,71.29,10.71,0,13.79,0,0,0,3.68,2.89,1.92,0,1.79,0,0,0,0,24.31,0,0,20.48,60.19,0.87,0,0.85,3.48,0,11.8,0,32.67,9.68,1.78,19.95,49.56,0,0,10.57,0,0
 24-34,0,0,0,7.28,1.09,0,0.77,0,1.84,0,7.06,0,0,0,0,0,1.07,0,0,7.86,0,0,6.08,19.33,0,0,0.62,0,0,50.74,0,0,1.38,0,0,12.57,0,0,15.15,0,0
 36-46,0,0,0,15.83,0,0,2.18,0,2.46,1.26,6.66,0.56,3.48,15.57,0,1.3,0.67,0,0,30.79,0,0,10.97,44.86,2.6,4.49,3.23,0,0,66.08,0,0,0,0,0,14.9,0,0,11.99,0,0
 48-58,0,0,0,8.55,0,0,7.48,0,7.44,0.41,3.37,0,2.33,4.5,0,0,0,5.47,0,15.02,0.46,1.56,1.94,19.72,0.38,0,1.22,0,0,33.61,0,0,2.86,0,0,18.81,0,0,3.57,0,0.83
 60-70,0,0,0,10.23,0,0,3.37,0,11.26,2.03,18.3,1.07,0.78,8.94,1.31,0,1.26,2.25,0,41.01,2.41,0,8.74,22.53,1.95,3.88,0.65,0,1.19,37.84,0,0,1.12,0,0,9.14,0.92,3.88,4.6,0,0
 72-82,0,0,0.9,9.53,5.61,0,5.34,0,3.52,3.98,19.66,3.6,2.37,11.89,1.09,4.15,7.52,0,0,79.94,1.69,3.41,3.95,31.93,0,8.76,2.74,0,1.53,39.29,0,0,0.57,0,0,0,1.99,0,22.29,5.84,0
 84-94,0,0,0,46.81,3.05,0,2.2,0.95,7.6,0.91,7.21,2.53,5.22,13.02,0.6,1.6,1.33,0,0,115.6,4.5,10.65,4.15,10.89,0.76,0,1.17,0,0,98.59,0,0,2.85,0,0,2.11,2.92,2.97,15.9,2.76,0
 96-106,0,0,0,42.24,11.27,0,9.51,0,29.23,4.12,29.58,2.61,5.9,17.15,6.6,1.03,5.37,1.99,0,133.51,5.69,5.88,10.03,44.2,0.68,3.21,7.03,0,2.1,101.72,0,0,0,0,0,6.19,1.62,4.04,21.54,9.82,3.01
108-118,0,0,0,70.14,1.98,0.46,17.64,0.66,23.9,13.6,10.76,3.61,1.26,15.84,5.88,7.18,4.68,0.43,0.9,118.73,8.96,1.96,14.37,31.18,1.19,0,1.32,0,0.76,58.8,0,0,1,0,0,7.39,0,1.41,11.2,1.45,12.82
120,0,0,0,51.98,2.67,0,8.33,0,9.5,3.22,26.59,1.38,3.46,16.81,0,1.87,4.16,0,0,55.29,1.1,8.5,8.88,39.83,0,6.72,5.91,0,3.42,26.64,0,0,0,0,0,0,4.18,0,39.16,9.54,0
