stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,332.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0,0,0,8.1,0,0,0,0,0,0,1.27,0,0,3.39,14.38,0,0,0.89,0,0,0,0,2.11,0,3.49,579.38,0,0,0,0,0,0
 24-34,0,0,0,22.09,0,0,35.87,1457.74,0.68,2.78,9.87,0,0,0,0,3.24,8.02,1.23,0.84,3.6,26.93,0,0,77.41,314.33,2.86,3.12,1.31,0,0,27.84,0,3.08,2.98,4.51,756.77,52.18,0,0,25.1,0,1.68
 36-46,0,0,0,18.64,0,0,50.45,3386.86,0,0,16.36,0,2.19,1.87,0.89,0,0,0,0,0,30.6,0,1.32,66.49,432.01,0.64,1.94,1.69,0,0,25.6,0.68,0,0,1.82,52.07,78.48,0,0,19.75,0,6.63
 48-58,0,0,0,23.96,2.69,0,254.57,3433.12,1.21,7.1,55.3,0.56,0,3.36,6.91,7.6,12.03,0,8.83,19.9,104.32,0,2.96,80.2,817.96,1.84,1.47,4,0,2.42,9.82,0,0,2.08,2.31,0,161.22,0,0,6.72,0,27.3
 60-70,0,0,0,25.8,0,0,216.4,1868.33,1.49,6.29,54.04,0,0,1.46,7.21,6.34,0,10.9,9.14,1.05,65.52,0,2.8,53.01,416.16,10.83,5.12,0.77,15.41,0,26.97,0,0,3.95,9.19,0,63.27,0,6.67,9.93,1.46,5.24
 72-82,0,0,0.64,9.7,27.54,2.97,168.18,1152.22,7,2.86,20.92,1.99,0,0.89,2.92,0,4.49,0,5.78,0,82.97,0,2.38,34.08,340.59,0,0,0.56,4.01,0,10.43,0,0,0,0,0,30.26,2.43,2.75,7.84,0,42.34
 84-94,0,0,0,14.59,55.18,0,350.07,1856.9,0,0,54.7,5.61,0,0.78,5.17,4.69,8.62,6,4.45,7.72,107.47,0,5.85,49.99,378.94,3.42,12.06,4.53,0,0,73.71,0,0,0,2.13,0,30.11,0,9.99,40.6,4.43,11.42
 96-106,1.12,0,2.6,25.27,78.99,0,528.91,3029.81,19.49,25.16,88.34,6.32,0,2.35,15.94,2.96,4.35,4.09,27.22,8.48,185.91,5.58,16.85,81.12,618.19,2.71,10.21,1.48,0,8.49,78.45,1.35,0,0,11.52,0,15.44,2.04,6.49,15.07,8.7,44.72
108-118,0,0,2.41,40.58,31,2.28,291.99,1967.62,17.06,2.28,46.82,4.71,0,2.78,7.45,1.21,17.07,0,10.81,18.26,152.87,4.6,11.35,99.49,510.18,5.59,3.28,3.47,0,10.87,48.5,0,0,0,9.13,0,25.39,1.93,7.36,14.23,2.98,9.63
120,0,0,0,45.75,29.85,5.3,169.56,879.64,3.03,0,39.34,8.01,0,0,7.03,0,0,0,5,0,97.97,3.01,30.23,64.66,293.4,0,0,19.44,0,0,16.28,0,0,0,2.91,0,1.98,4.08,1.7,6.66,5.91,27.74
