stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,0,0.92,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,1.86,0
 24-34,0.62,0.92,0,0,0,0,0,0,0,0,0.75,0,0,4,0,1.25,0,0,0,0.67,2.74,2.85
 36-46,0,0,0,5.32,0,0,0,0,0,0,0,0,0,6.13,2.75,0,0,0,0,0,0,2.11
 48-58,0,0,0,6.28,0,0,0,0,0,0,0.79,0,0.51,15,0,0,0,0,0,0,4.5,0
 60-70,0,0,0,8.98,0.67,5.18,0,0,0,0,2.39,0,0,7.42,0,0,0,2.56,0,0,7.46,0
 72-82,0.62,0,0,10.55,0,0,0,0,0,0,1.74,0.71,0,9.51,0,0.52,1.78,0.57,0,0,0.79,0
 84-94,0,3.31,0,3.74,0,0.69,0,0,0,4.77,2.64,0,0,12.05,0,0,0,1.57,0,0,0,0
 96-106,0,0.83,0,0.77,0,0.59,1.56,0,0,0,0,0,0.58,2.94,0,0,0,2.12,1.27,0,0,0
108-118,0,0,0,1.19,0,1.08,0,0.44,0,0,7.53,0,0,9.53,0,0,0,3.99,0,0,3.28,0.52
120,0,0,0,0,0,0,0,1.91,2.56,0,0,0,0,4.23,0,0,0,1.03,0,0,0,0
