stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0.87,1.17,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,1.37,10.02,0.94,0,0,2.81,0,2.68,0,1.27,4.21,0,0,0,0
 24-34,0,0,0,0.85,0,0,0,0,1.17,0,1.51,0,0,0,0,0.61,1.1,0,0.98,46.05,0,2.53,0,9.98,1.06,0,0,0,7.79,0,0,1.31,0
 36-46,1.36,0,0,4.68,0,0.64,0,0,0,0,0,0,0,0,0,1.81,4.49,0,0,80.25,0,0.78,0,100.19,0,0,0,0,7.35,0,0,0.76,0
 48-58,9.55,0,0,24.22,0,11.85,0,3.63,0,0,11.64,0,0,0,0,5.88,12.94,0,1.26,48.27,0,0.57,0,96.64,0,0,0,0,4.46,0,0,0,0
 60-70,0.6,0,0,16.04,3.01,0.97,0,6.46,0,0,1.73,0,0,0,1.05,5.71,7.48,0.66,0,59.54,0,1.03,0.77,137.22,0,0,0,0,21.21,2.34,0,1.62,0
 72-82,6.2,1.26,0,11.69,1.63,2.9,0,0,0.75,0.67,3.67,0,0,0,0,16.28,20.44,0,1.89,84.76,0,0,0,101.77,0,0,0.57,0,4.96,9.02,0.87,5.27,1.37
 84-94,15.53,0.81,0,13.04,6.97,2.09,0,0,0,0,3.05,0,0,2.2,0,15.06,23.62,0,0,29.51,0,0,1.2,193.96,0,0,0,0,5.15,13.98,1.23,0,0
 96-106,61.39,0,0,19.82,5.65,3.11,15.03,0,0,1.97,11,0.76,1.72,12.65,0,14.22,47.64,1.9,0,46.02,0,0.73,4.76,248.17,0,0,0,0,0,62.36,0,1.37,0
108-118,54.92,0,2.78,19.37,14.06,1.37,23.21,0,0,0,20.13,1.25,0,0,0,19.25,34.61,0.46,0.6,77.53,0,2.2,0,270.19,0,0,0.84,0,1.17,96,0,2.73,0
120,101.23,0,0,21.14,8.56,0,15.79,0,0,0,53.5,0,4.79,0,0,0,53.31,0,0,4.35,0,2.25,2.38,264.73,0,0,0,0,0,40.4,0,0,0
