stage,epidermis,eye,glial,gut,mesenchyme,neural,periderm,spinal.cord,vasculature
 24-34,0,0,0,0,0,0,0,0.74,0
 36-46,0,0,0,0,0.68,1.16,0,1.47,0
 48-58,0,0,1.38,0,0.64,0.74,0,0,0
 60-70,0,0,0,1.11,0,3.07,0,0,0
 72-82,0,0.63,0,0,0,0,0.52,0,0
 84-94,0,0,0,0,0,2.72,0,0.66,0.57
 96-106,0.76,0,0,0,0,0,0,0,0
108-118,0,1.36,0,0,0,1.56,0,0,0
