stage,axial,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.02,4.62,1.03,15.1,0,0,0,0,0,1,0,0,0,13.17,12.28,0,1.92,11.75,0.8,0,0,0,0,0.98,0,20.08,1.3,0,0,0,0,7.87
 24-34,0,0,0.68,0,3.17,0,0,0,2.01,0,8.16,0,10.47,0,5.96,26.87,0.69,18.86,31.76,0,0,7.4,0,0,0.74,0,68.6,0.93,0,0,1.03,0,16.97
 36-46,0,0,0,0,1.27,1.54,0,0,0,0,12.02,9.14,25.56,0,5.69,61.52,5.67,18.28,20.25,0,0.6,7.13,0,0,0,1.05,35.75,8.54,0,0.62,0,0,0
 48-58,0,0,0,0,1.92,0,1.34,0,1.02,0,0,0.92,12.13,0,0.88,70.88,14.14,16.59,12.19,0,0.37,8.62,0,0.96,1.06,0,31.98,3.48,0,1.03,0,0,1.34
 60-70,0,0,0,0,1.19,0,0,0.72,0,0,2.41,0,28.85,0,5.84,46.09,1.61,0,7.39,0,0,21.15,0,0,0,0,14.87,0,0,1.7,0,0,0
 72-82,0,0,2.62,0,1.61,0,5.73,0.81,0.66,0,1.27,0,59.9,0,0,75.94,20.56,4.64,14.21,0,0,15.18,0,0.8,1.79,0,39.51,0,0,5.98,0,2.91,3.92
 84-94,0,0,0,1.2,1.69,0.89,0,0.75,0,0.7,6.35,0,103.4,0,1.51,92.88,15.58,6.92,4.29,0,19.29,18.52,0,1.31,2.6,0,80.86,3.65,0,5.29,0,5.14,0
 96-106,0,0,1.34,0,8.78,1.88,4.01,1.81,0.76,0,3.08,0,188.61,11.48,0.56,51.01,3.05,2.77,17.41,0,28.93,17.12,0,5.73,4.61,0,77.33,0,0,6.12,1.81,16.43,0
108-118,0,0,3,0.9,12.9,0,0.47,0.58,0,0.7,9.45,0,107.36,0.45,10.5,68.9,12.45,2.94,15.83,0,13.58,26.82,0,16.24,2.9,0,70.51,0,0.48,0,0,2.96,5.12
120,0,0,1.81,1.38,17.6,0,0,2.65,0,8.73,5.99,0,67.66,1.59,0,42.32,13.19,3.21,27.13,0,6.46,49.62,0,0,0,0,58.4,0,0,2.93,0,0,3.58
