stage,axial,blastomeres,eye,fin.mesenchyme,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  5-6,0,23.28,0,0,0,0,0,0
  7-9,3.8,5.3,7.01,0,0,31.52,20.54,0
 10-12,0,0,14.2,0,0,76.64,30.01,0
 24-34,0,0,0,0,0,0,0,0.67
 48-58,0,0,0.58,0.43,0.56,0,0,0
 72-82,0,0,1.54,0,0,0,0,0
 84-94,0,0,0,0,0,4.99,0,0
