stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,11.92,205.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,1.85,0,0,1.01,1.49,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,3.57,2.53
 36-46,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0.79,0,0.77,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,1.63,0,0,0.38,0,0,0.42,0
 60-70,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.69,0,0,0,4.57,0.57,0,0,0.72,0.64,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,3.23,0.86,0,0,0,0,0,0,0.95,2.28,0,0,3.64,0,0,0,0
108-118,0,0,0,0,0,1.2,1.21,0,1.13,0.67,0,0,1.48,0,0,0,0,0,3.03,0,0,0,0
120,0,0,0,0,0,0,2.62,1.31,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0
