stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.53,88.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.16,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.04,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.36,0,0,0,3.76,0,0,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,33.44,4.82,0,6.43,0,0,0,1.15,1.28,0,0,0,0,0,0,0,11.4,0,0,2.87,300.52,21.76,0,152.12,0.86,0,0.98,2.21,0,1.05,10.14,32.65,0,0,2.82,0,0
 24-34,0,0,0,0,4.52,3.91,0,5.67,0,0.81,0,6.54,0,0,0.87,1.41,0,0,0,0,0,0,0,0.69,604.45,19.76,0,27.18,0,0,1.27,0,0,0,0,41.35,0,0,8.58,0,0
 36-46,0,0,0,0,27.2,10.56,0,28.4,0,0,1.25,26.64,0,0,0,0.77,5.89,1.36,0,5.74,10.87,0,1.73,1.97,1652.96,32.29,0,90.74,0,0,3.74,0,2.09,0,0,53.59,0,0,5.64,0,1.73
 48-58,0,0,0,0,6.75,0,0,215.84,0,1.16,0.47,60.95,0,0,0,0,15.71,0.41,2.43,23.93,30.24,0,1.07,3.43,2282.21,8.86,0,105.65,0,0.56,3.37,0,0.53,3.54,0,144.76,0,0,9.01,0,2.58
 60-70,0,0,2.72,0,5.44,0.57,0,573.14,0,0,0,216.41,0,0.9,0.9,0,26.94,0.77,0.92,26.4,105.22,0,0,7.56,1998.84,4.59,1.55,251.62,0,0,3.89,0,1.1,0.77,0,483.7,0,0,27.43,0,3.36
 72-82,0,0,0,0,78.34,10.75,0,976.08,0,2.11,7.51,552.21,0,15.49,22.39,0.53,11.16,0,0.98,7.95,131.33,1.44,1.33,3.1,1508.9,3.66,1.57,381.11,0,2.75,3.31,0,0,0,0,348.09,2.71,4.27,22.8,2.95,6.43
 84-94,0,0,0,0,87.17,0.57,0,463.17,1.68,10.75,4.57,420.66,2.41,12.06,22.47,1.95,34.4,0,0.6,12.86,136.85,0,6.17,6.62,969.25,3.62,2.6,437.13,0,0,11.63,0,0,0,0,165.92,4.41,1.99,58.38,3.33,33.31
 96-106,0,0,0,0,224.68,12.84,0,551.05,2.61,16.91,3.07,1138.67,4.16,5.6,54.74,1.71,30.43,0.69,2.65,5.31,155.42,4.6,14.77,4.86,980.39,4,2.82,542.23,0,5.46,20.31,0,0,0,0,27.21,0,2.69,60.53,11.41,60.47
108-118,0,0,0,0,295.79,6.11,0.5,570.62,0.44,23.26,6.04,1092.06,4.26,10.49,85.88,3.02,195.87,4.59,12.33,18.8,116.39,6.75,11.5,10.27,1466.68,17.51,2.18,877.79,0,8.05,10.31,0,0.59,0,0,102.54,1.37,2.15,85.7,21.51,102.36
120,0,0,0,0,142.68,11.02,7.39,311.54,0,7.51,4.45,869.67,8.71,21.45,88.75,13.4,70.26,3.74,1.34,13.37,138.11,0,10.89,25.91,1578.03,4.69,0,315.53,0,14.34,6.38,0,0,0,0,102.56,3.75,2.93,24.81,7.34,28.05
