stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,88.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0
  5-6,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,280.25,0,3.02,0,4.43,0,0,0,0,0,0,0,1.67,0,9.96,1.03,0,3.7,4.07,0,0,4.75,0,0,0,0,0,0,6.7,0,0,1.21,0,0
 24-34,0,0,1.51,1.73,242.15,0.84,14.27,0,23.21,0,0,0.67,6.88,0,0,0.7,4.59,0,66.97,0,1.52,7.47,25.28,26.47,0,1.13,0,0,7.86,0,0,0.93,7.15,0,0,19.82,0,0
 36-46,0,0,0,0,88.05,2.92,8.73,0,9.69,3.94,18.93,2.29,5.5,0,0.93,0,0.65,0,265.01,0.98,23.01,6.54,78.88,200.41,0,0,0,0,2.28,0,0,0,11.05,0,0,21.72,0,0
 48-58,0,0,0.65,0.43,84.03,1.51,35.68,0,34.81,20.1,31.66,3.7,7.84,0,0,0,0,2.93,453.21,2.06,31.19,22.56,104.89,441.21,1.92,0.71,0,5.54,7.36,0,0.39,0,24.72,0,7.16,20.5,0,1.69
 60-70,0.8,0,0.9,0,94.49,0,35.41,0,31.98,16.79,13.31,0,10.9,0,0,0,0,0,562.48,2.41,20.4,5.15,69.7,271.96,1.27,0,0,2.9,0,0,0.76,0,7.67,0,9.25,23.64,3.41,9.83
 72-82,0,0,1.39,0,51.26,0,42.61,0.75,20.94,58.04,5.79,0,10,0,3.57,0,0,4.11,548.94,0.92,9.37,19.23,81.93,172.31,0.58,0.76,0,11.76,2.29,0,0,0,8.7,1.31,15.42,50.82,7.15,0
 84-94,0,0,0,0,75.94,0,30.72,0,33.76,23.44,5.36,0.73,12.69,0.56,0,0,1.91,0,370.1,0,9.96,16,26.34,291.5,0,0,0,0.6,1.51,3.36,0,0,9.9,0,9.22,24.08,7.98,0
 96-106,0,0,0,0,73.37,0,30.74,0,12.42,33.82,6.68,0,9.85,0,0,0,0,3.15,206.51,3.14,1.36,8.71,39.87,86.8,1.03,0,0,4.72,2.49,0,0,0,2.49,0,7.12,24.9,2.25,0
108-118,0,0,0.71,0,46.56,0,15.41,0,11.96,34.59,3.21,0,2.03,0.42,0.69,2.25,0.41,2.4,175.78,0,0,4.73,27.59,86.18,4.44,0,0,9.53,0.56,0,0,0,1.11,0,0,8.2,0,0
120,0,0,0,0,39.68,0,0,0,3.47,24.21,1.07,0,0,1.03,3.19,0,1.34,2.14,250.16,0,0,1.41,9.12,63.62,1.06,16.05,0,18.35,1.17,0,0,0,0,0,0,6.62,3.15,0
