stage,epidermis,eye,fin_epithelia,gut,mesenchyme,mucous,neural,periderm
 24-34,0,0,0,0,0,0,2.11,3.06
 36-46,0,0,0,0,0,0,0.87,1.69
 48-58,0,0,0,0,0,0,2.94,6.57
 60-70,0,0.61,0,4.03,0,0.73,0,6.82
 72-82,0,0,0,0,0,0,3.44,13.6
 84-94,0,0,0,0,0,0,0,18.65
 96-106,0.93,0,0,0,1.39,0,0,18.01
108-118,0,5.33,0,0.47,0,0,0.9,15.29
120,10.29,4.94,2.07,2.91,0,0,0,21.88
