stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,20.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,2.15,0,0,2.59,0,0,0,1.34,0,0,0,0,0,0,0,3.44,0,0,5.38,22.88,1.67,0,0,0,0,3.94,3.09,0.98,0,37.64,2.43,0,0,0
 24-34,0,0,0,0,8.16,0,1.89,0,0,1.39,0,0,0,0,1.1,0,0,0,21.29,0,0,24.32,16.31,0,0,0,0,0,0,0,0,0.91,6.25,1.61,0,0,0
 36-46,0,0,0,0,7.7,0,0,0,0,1.46,0,0,0,0,0,0,0,0,64.49,1.35,0.63,18.25,9.95,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0
 48-58,0,0,0,0,42.44,0,4.15,0,0,16.87,6.39,0,0,0,0,0,0,0,96.7,0,7.33,21.5,17.56,0,0,0,0,0,0,0,0.43,0,0,4.34,0,0,0
 60-70,0,0,0,0,77.68,0,10.14,0,0,21.06,4.03,0,0,1.16,0.86,0,0,0,230.66,0.85,7.43,12.6,32.95,0,0,0,0,0,0,0,0.62,0,0,4.28,2.49,0,0
 72-82,0,0,0,0.77,492.46,0,18.62,0.82,2.98,42.91,22.8,1.54,1.2,2.72,0.79,0,0,1.03,479.51,0.89,64.2,30.69,64.91,0,0,0.97,0.71,2.09,0,0,0,0,0,3.48,2.49,0,1.25
 84-94,0,0,0,1.02,706.68,0,12.19,2.56,0,18.16,5.96,1.4,3.61,2.13,1.34,0,0,0,394.52,0,75.77,23.72,36.37,0,0,3.36,0,0,0,0,1.86,0,0,0,1.67,1.9,3.07
 96-106,0,0,0,0.63,1020.6,0.59,32.64,0,0.56,35.02,14.16,6,7.74,4.57,0.7,0,2.25,10.64,418.6,0,64.6,21.58,62.91,0.6,11.94,0.57,9.02,2.14,0,0,0.56,0,0,0,6.07,6.78,6.18
108-118,0,0.64,0,0,574.14,0,22.16,0,0,35.33,14.83,21.4,3.67,5.89,3.51,1.25,0,0,558.77,1.38,116.99,20.3,52.23,0,4.05,0.49,5.7,1.99,0,0,0,0,0,0,1.37,4.44,12.79
120,0,1.37,0,3.86,534.51,0,19.84,0,1.11,52.21,19.39,29.27,2.18,7.82,0,0,0,0,539.17,0,125.5,33.3,46.39,0,0,0,0,0,0,0,2.05,0,0,9.27,1.32,0,7.89
