stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,211.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,88.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.71,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.99,7.13,0,0,29.99,3.26,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,17.69,0,8.22,0,0,0,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.48,14.93,0,0,37.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.36,3.2,0,4.02,0,1.16,0,0,0,0,0,0,0.9,0,0,0,0,2.31,0,0,0,36.18,0,3.52,0.95,0,1.94,0,4.65,0,2.8,21.39,0,0,2.17,0,0
 24-34,0,0,0,0,13.54,1.09,0,20.6,0,0,0,8.27,0,0,0,0.62,1.61,0,0,2.05,1.75,11.61,1.76,0,8.67,144.52,0.6,5.04,1.46,0,17.13,0,0,3.63,0.65,27.21,0,0,10.72,0,2.71
 36-46,0,0,0,0,2.49,0,0,40.5,0,0,0,4.53,0,0.59,0,5.61,0,0.61,0.61,0,9.02,12.44,0,0,2.03,197.41,13.43,6.35,1,0,23.56,0,0,0.75,0,33.02,0,0,3.93,0,19.09
 48-58,0,0,0,0,4.1,1.76,0,97.38,0,0,0,9.34,0.51,0.37,0.4,7.68,2.37,5.4,0,0,5.14,19.27,0,2.55,0.78,277.44,0,0.64,1.22,0,15.04,0,0,0.4,0,62.83,0,0,4.68,0,4.89
 60-70,0,0,0,0,3.41,0,0,157.51,0.65,0.97,0,7.93,0,1.75,0,3.76,0.67,0,0,0,2.6,19.69,0,2.37,1.17,254.2,7.37,2.41,0.63,0,24.4,0,0,0,0,20.2,0,0,5.81,0,3.86
 72-82,0,0,0,0,11.84,8.61,0,233.96,0,0.56,2.43,13.23,0.63,0,0,7.08,0.66,0,1.4,0,1.89,42.3,5.98,6.2,2.93,234.25,1,6.58,1.89,0,10.73,0,0,0,0,12.46,1.27,1.02,7.87,1.14,19.09
 84-94,0,0,6.55,0,8.31,13.38,0,158.58,0,1.23,0,18.51,0,0,3.43,6.22,1.75,2.02,1.52,2.11,1.25,24.4,9.75,1.89,0.66,125.78,6.2,0,0,0,28.94,0,0,0.58,0,36.92,0,0,8.89,0,1.63
 96-106,1.12,0,0,0,15.13,11.39,0,166.45,0.62,0.76,0,18.16,5.46,0,0,10.54,1.43,5.66,0,4.45,1.61,51.82,0.71,3.41,1.18,139.66,2.22,0.6,6.11,0,31.91,0,0,0,0,6.88,0.8,0,13.08,0,10.23
108-118,0,0,0.6,0,9.49,4.72,1.5,149.74,1.5,2.09,1.52,11.61,2.8,0,1.42,4.84,2.82,11.51,2.66,0.84,0,24.81,2.35,0,0,152.18,0.46,0.43,2.14,0,25.15,0,0,1.07,0,4.99,0.86,0,3.2,0,4.69
120,0,0,0,0,6.67,4.44,0,72.06,0,1.09,0,0,1.94,0,0,13.7,0,0,0,1.14,0,33.06,6.17,0,0,240.24,0,6.14,6.6,0,11.9,0,0,0,0,12.02,3.61,2.71,12.58,0,2.85
