stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,293.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,31.17,855.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.57,0,0,0,19.66,0,9.92,0,0,0,0,0,0,0,0,0,0
  7-9,27.65,39.64,0,79.08,0,0,107.15,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,832.25,20.56,0,0,345.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,55.71,0,59.42,0,0,57.01,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,675.17,31.31,0,0,216.55,0,0,0,26.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.75,92.51,16.46,23.12,0.88,0,25.81,0.98,1.11,0,0,0.86,0,0,0,2.69,45.1,0,30.1,515.19,13.58,2.84,7.52,20.09,0,1.6,62.15,4.41,1.33,48.26,175.61,0,0,0,0,1.17
 24-34,0,0,0.84,4.46,28.88,0,34.85,1.61,1.43,22.04,1.98,0,0,0,0.67,0,2.15,3.57,5.62,111.79,0.69,31.64,440.71,3.5,3.17,12.21,0,0,4.43,1.1,2.76,0,6.8,155.25,0,0,1.75,0,7.09
 36-46,0,0,0.85,0,4.9,0.6,19.8,0.7,0.78,24.81,0,0,1.29,0,0,4.46,3.52,0,8.55,134.49,0.77,28.15,259.83,2.42,0,5.47,0,0,2.54,0,0,0.74,0,99.89,0,0,0.55,0,7.81
 48-58,0.58,0,0,0,19.54,0,25.46,0,5.53,37.13,0,0,0.38,0,0.55,0.87,8.62,0,10.18,120.76,2.37,21.88,104.18,1.01,6.61,5.9,0,0,0,0,0.52,0.46,0,56.64,0,1.06,1.85,0,4.55
 60-70,0,0,0,0,17.77,0,15.91,0,3.49,18.03,0,0,0,0,7.11,4.2,3.46,0,15.18,87.2,3.68,13.11,38.92,0.7,2.85,2.49,0,0,2.09,0,0,0,0,5.32,0,0.73,0.85,0.64,16.06
 72-82,0,0,0.69,0,4,0,18.65,0,1.09,34.22,0,0,0.53,0,0,4.71,2.28,0,9.39,118.49,3.4,13.94,37.99,0,1.32,2.87,0,0,1.16,0,0,0,0,6.4,0.71,0,0.5,2.15,13.33
 84-94,0,0,0,0,4.84,0,33.71,1.51,3.88,20.04,1.92,0,0,0,1.12,3.76,0.73,0.56,2.28,101.73,2.13,15.5,25.01,0.67,2.3,5.41,0,1.01,2.4,0,1.43,0,0,9.97,0,5.54,0,1.59,15.07
 96-106,0,0,0,0,3.91,1.27,10.46,0,7.53,14.54,1.05,0,1.52,2.04,0.61,5.77,4.75,2.69,2.02,83.19,0,15.64,36.65,0.79,2.97,3.24,0,0,0,0,0,0,0,6.41,0,0,1.49,1.56,1.44
108-118,0,0,0,0,7.93,0.66,10.12,0.46,6.22,18.22,0.8,0,0.51,0,0.72,5.31,3.66,0.84,5.03,78.34,2.79,12.11,25.36,0.56,0.44,5.38,0,5.55,0,0,0,0,0,4.23,0,0.63,0,1.9,7.93
120,0,0,0,0,4.64,0,11.48,0,0,18.57,2.51,0,0,0,0,0,2.13,10.37,4.02,71.59,12.3,13.04,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2
