stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,51.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.88,13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.86,0.91,0,0,0,0,0
 24-34,0,0,0,0,56.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0.61,0.83,2.06,0,0,1.5,0,0,0,0
 36-46,0,0,0.56,0,139.24,0,0,0,0,0,0,0,0,0,0,0.72,0,0,4.73,0,0,0,0,0,0,0,0.67,0,0.91,0,0
 48-58,0,0,0,0,198.76,0,3.39,0,1.8,0,1.36,0,0,0,0,1.54,0,0,2.27,0,0,0,0,0,0,0,0.53,0,1.18,0,0
 60-70,0,0,0,0,325.26,0,10.31,0,0,4.21,1.27,0,0,0,0,2.68,0,0,26.76,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.59,2663.69,0,43.11,0,0,9.22,8.57,0,0,28.26,3.43,4.57,0,0.62,36.98,0,0,0.69,5.6,0,0,0,5.07,0,1.66,1.51,0
 84-94,0,0,0,1.84,2052.11,0,28.29,2.37,0,0,1.87,0,0,0,7.94,5.7,0,2.18,37.44,0,1.1,0,1.98,4.12,0,0,2.71,0,0.57,1.66,2.6
 96-106,0,0,0,17.07,4218.94,0,32.67,0,1.1,3.22,2.56,1.43,13.16,3.58,0,21.85,0,3.92,71.29,0,0,0.85,10.38,0.82,0,0,1.61,0,9.44,0,0
108-118,0,0,0,5.23,1989.51,0,45.29,0,3.64,0,21.37,0,0.63,3.21,0,12.89,0.92,0.52,93.52,3.44,0,7.74,3.65,0,0,0,0,1.33,9.89,0,0
120,0,0,0,3.21,2410.46,10.57,3.75,0,0,0,0,0,0,15.6,1.25,41.02,0,0,100.4,0,0,0,6.17,0,1.99,0,0,0,4.93,0,8.45
