stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.1,1126.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.33,0,0,0,0,0,0,0,0,0,0
  5-6,44.05,605.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.22,0,0,0,0,0,912.61,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,4.38,0,0,0,15.61,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,142.74,0,0,0,33.19,0,78.34,5.24,0,0,0,0,0,0,0,0,0
 10-12,0,13.78,0,59.92,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0,590.61,4.36,0,0,12.61,0,17.25,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,2.15,17.97,2481.16,0.9,0,30.93,0,11.38,0,1.2,33.5,16.63,0,0,130.76,1.84,0,0,8.07,25.09,0,0.9,74.76,2.36,19.4,171.58,2.85,0,1680.11,0,2.44,65.23,0,2.46,8.62,0,0,0,0
 24-34,0,0,0.6,7.84,201.61,0,0,2.4,0,17.15,0,0,8.9,0.67,2.46,0,120.34,16.41,0,0,1.84,40.24,0,2.06,94.44,0,23.87,17.53,0,0,919.1,0,0,41.32,0,0,6.25,0,0,0,0
 36-46,0,0,0,1.91,192.25,0,0,11.54,0,53.48,1.09,0,9.78,0,0,0,53.61,13.76,0,0,4.99,29.12,0,0.72,130.21,1.94,12.33,29.17,0,0,1085.58,0,0,10.02,0,0,10.33,0,0,0,8.62
 48-58,0,0,0,0.4,145.65,0.43,0,21.89,0,42.43,0,1.6,8.51,5.12,0,0,21.22,10.86,6.42,0,3.24,22.69,0,0,53.43,0,11.53,18.57,0,0,451.33,0,0,15.69,0,0,5.83,0,0,0,0.62
 60-70,0,0,0.82,5.86,287.13,0,0,24.31,0,103.99,0,0.65,19.3,2,0,0,49.25,19.27,1.91,0,15.4,23.74,0,1.13,102.66,0,9.41,25.81,0,0,629.13,0,0,16.65,0,0,11.2,10.98,2.13,0,0
 72-82,0,0,4.29,0,225.93,0,0,12.61,0,44.18,0.64,2.56,24.82,0,0,0,45.34,23.04,2.65,0,16.71,22.67,1.11,1.24,84.73,0,7.56,26.93,0,0,275.44,0,0,13.03,0,0,5.35,25.55,0.5,0.77,0
 84-94,0.62,0,2.9,3.3,525.68,9.84,0,5.39,0,155.18,1,4.17,62.99,0.66,0,0.67,96.85,40.18,6.51,0,12.47,37.29,1.32,1,61.5,0,20.52,15.47,0,0,878.38,0,0,32.6,0,0,0,31.41,1.26,1.55,0
 96-106,0,0,1.69,1.07,594.59,7.89,0,39.91,0.7,162.72,8.06,15.13,93.39,0,0,0.78,151.03,64.58,14.01,0,21.86,84.82,1.85,1.61,113.34,0,34.96,29.13,0,1.36,906.79,0,0,38.6,0,0,1.12,109.98,4.37,0,1.22
108-118,0,0,3.05,2.52,677.94,0.55,0.65,21.56,0.76,250.74,1.29,9.82,186,0,0,2.48,166.63,51.16,21.93,1.71,11.18,106.75,0,1.14,100.09,0,39.33,54.5,0,0,995.17,0,0,45.26,0.5,0,0,161.25,0.76,0,0
120,0,0,0,0,435.76,0,0,15.37,0,105.91,0,6.93,82.63,0,0,1.19,67.08,26.32,19.97,0,13.69,116.62,0,0,88.28,0,32.87,44.15,0,0,491.12,0,0,24.94,0,0,13.28,74.54,0,0,0
