stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,17.04,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0.81,0,0,0,0,0,0.95,0,0,0,73.03,0,0,0,0,0,2.42,0,4.25,0,0,0.83,4.94,0,0,0,0,0,1.15,0,2.22,4.87,0,0,0,0,0
 24-34,0,0,0.76,0,0,1.1,0,0,19.68,0,0,9.99,0,0,0,0,0,1.4,0,5.41,0,0,6.44,7.4,0,0,0,0,1.54,0,0,0,0.73,0,0,0,0,0
 36-46,0,0,0,0,0,0.8,0,15.45,58.21,2.18,0,1.82,4.05,0,0,0,0,0,0,67.57,0,0,33.01,26.11,2.92,0,0,0,0,0,0,0,1.36,0,0,0,0,0
 48-58,0,0,0.42,0,0,1.79,0,1.44,290.58,0.93,0,0.9,12.04,0,0,0,0,0,0,262.23,0,0.96,28.54,27.3,2.23,0,0,0,0,0,0,0,1.1,0,0,3.99,0,6.94
 60-70,0,0,0,0,0,16.86,0,14.26,452.72,13.01,0,0,16.87,0,0,0,0,0,0,1032.14,0,6.84,53.79,27.67,0,0,0,0,0,0,0,0,2.45,0,5.48,0,5.77,60.37
 72-82,0,0,21.6,0.54,0,117.58,1.95,15.75,894.24,27.3,4.99,0,26,0,0,3.88,1.04,0,29.65,3045.49,0,18.39,93.79,104.66,0,0,0.67,4.27,3.01,0,0,0,6.12,1.17,78.47,1.01,27.27,41.77
 84-94,0,0,16.23,0,1.22,121.78,0.87,5.1,646.62,24.75,0,0,35.13,5.12,0.58,1.03,0,1.81,32.46,3104.32,0,46.7,87.17,89.58,2.32,0,0,0,2.59,0,5.46,0,0.81,0,89.75,8.16,31.1,22.95
 96-106,0,3.76,36.65,33.85,0,238.8,3.86,16.69,843.06,22.85,4.22,0,60.46,3.92,0.73,4.49,0,13.38,4.09,5321.05,0,128.5,136.45,384.99,0,0,0.77,22.86,14.39,0,3.97,0,4.6,0,206.29,6.46,66.41,174.77
108-118,0,0,42.63,6.86,0,191.52,0,4.98,892.41,33.77,0.66,0,39.9,1.94,0.96,0.74,5.27,4,14.55,8561.79,5.37,99.74,172.55,474.64,0.69,0.51,5.68,14.76,5.34,0,0,0,15.55,1.18,172.84,4.94,89.42,96.49
120,0,0,43.17,8.67,11.94,302.09,3.55,4.79,827.26,11.59,2.63,0,26.46,5.87,0,11.44,0,13.95,0,7234.76,0,67.03,101.81,349.75,0,40.36,0,5.34,15.7,0,0,0,24.44,0,247.18,0,78.93,109.05
