stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,5.73,0,0,15.67,0,0,0,0,0,0,0,0,0
 10-12,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.02,0,0,0,16.77,0,0,0,0,0,0,0,0,0
 14-21,0,14.61,1.39,13.32,0.88,0,0,0,0,0,1.37,0,0,0,0.94,5.22,0,0,2.07,72.3,0.84,0.97,0,0,0,3.18,0,0.84,7.91,0,1.86,0,0
 24-34,0,12.29,0,8.72,1.37,0,3.42,0,0,0,0,0,0.62,0,0,20.11,0,0,12.04,226.66,1.87,2.35,2.34,0,0,36.81,0,0.59,4.98,0,10.15,0,0
 36-46,0,8.3,0,59.05,1.06,0,18.74,0,0.69,0,0,0,0,0,1.46,31.1,0.56,2.15,4.92,148.36,0,0,0,0,0,45.19,0,0,22.39,0,11.14,0,3.13
 48-58,0,5.3,2,224.74,8.64,0,29.67,0,0.56,0.52,0,0,0,0,0,25.16,0,0.43,2.03,196.46,0.56,0,0.48,0,0,17.84,0,0,18.64,0,7.95,0,0
 60-70,0,5.3,0,760.88,5.35,0,46.85,1.91,1.61,21.47,0,0,0,0,0,74.72,0,1.12,4.27,267.68,0,0,0.91,0,0,13.82,0,0,14.39,0,7.66,0,0
 72-82,0,0.55,0,603.36,4.53,0,67.57,0,0,8.74,0,0,0,0,0,64.25,0,3.52,1.23,184.78,0,0,0,0,3.01,4.39,0,0,4.97,2.93,17.15,3.19,0
 84-94,0,6.08,0,362.53,0,1.09,58.55,0.59,2.28,5.37,0,35.74,0,0,0,46.92,0.86,4.75,0,110.19,0,0,0,0,0,25.76,0.67,0,5.44,3.1,1.21,0,0
 96-106,0,8.87,0,425.87,0,0,107.59,0.6,4.5,11.24,0.81,2.65,0,0,0,31.59,0,0,0,99.86,0,1.83,0.63,0,0,45.53,0,0,0,0.62,11.83,2.1,1.09
108-118,0,7.63,0,358.97,1.81,1.34,61.36,0,0,13.91,0,0,0,0,0,32.45,0.91,2.71,0,124.66,0,0,0,0,0,18.05,0,0,0.95,0,4.18,5.11,0
120,0,8.89,0,282,0,2.81,47.53,1.94,0,8.57,0,0,0,3.92,0,31.7,0,1.45,0,125.97,0,0,0,0,0,7.03,0,0,5.91,0,4.54,0,0
