stage,eye,mesenchyme,neural,paraxial.mesoderm,pericytes
  7-9,0,0,6.86,3.66,0
 36-46,0,3.77,0,0,0
 48-58,0,0,3.77,4.77,0
 60-70,2.12,3.31,2.09,0,0
 72-82,0,2.1,1.34,0,0
 96-106,0,0,10.19,0,0
108-118,0,0,6.99,0,0
120,0,0,29.57,0,19.49
