stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.98,199.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,80.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,29.43,0,0,36.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.99,0.82,0,0,7.22,0,0,0,0,0,2.06,0,0,0,3.3,0.8,0,3.27,2.04,0,0,0,0
 24-34,0,0,0,0,4.36,0,0,0.64,32.67,0,0,0,0.7,0,121.56,3.01,2.91,0,15.49,0,0.97,1.46,19.58,0,0,0,0
 36-46,0,0,0,0,0,0,1.41,0,63.57,0,0,2.69,0,0.62,171.23,0,0,0,11.67,0,0,0,20.38,0,0,9.13,0
 48-58,0,0,0,0,0.48,6.95,0,0,4.83,0.39,0,3.08,0,0,282.64,0,2.92,0,3.35,0,0,0,13.66,0,0,0,0
 60-70,0,0,0,0,0,11.18,0,0,1,0,0,0,0,0,225.96,0,4.57,0,3.2,0,0,0,16.79,0,0.62,0,0
 72-82,0,0,0,0,0,18.41,10.96,0,3.56,0,0,5.53,0,2.06,362.45,0,1.39,0,0,0,0,0,31.38,0,3.83,0,0
 84-94,0,0,0,0,0,7.26,0,0,10.76,0,0,7.01,1.3,0,291.84,0,5.27,0,0.66,0,0,0,12.08,0,0,0,0
 96-106,0,0,0,0,4.63,3.31,7.23,1.66,5.8,0,0,6.12,0,10.77,249.81,2.04,0,0,0,0,0.69,0,19.79,1.26,0,3.1,0
108-118,0,0,1.54,0,1.13,0,1.7,0,6.55,0,0,4.24,0,5.1,269.82,0,1.78,0,1.17,0,0,0,18.24,0.81,0,0,0.83
120,0,0,0,0,0,10.75,0,0,4.57,0,3.15,0,0,0,562.5,0,0,0,0,0,0,0,7.22,2.83,0,0,0
