stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.89,252.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.67,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,15.91,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0,4.3,0,2.94,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.33,0,0,0,0,0,1.91,0,0,0.91,0,0,0,12.13,0,0,5.13,0,0,4.53,0
 48-58,0,0,0,0,0,2.09,0,0,0,0.58,0,0,0,4.6,0,0.82,5.85,0,0,0,0.85,0.66,0,1.2,0,0,0,0
 60-70,0,0,0,0,0,2.16,2.44,0,0,0,2.87,0,0,16.85,0.9,0,9.91,0,0,0,1.58,0,0,2.85,0,0,4.37,0.79
 72-82,0,0,0,3.02,0,6.57,3.79,0,0,0.64,0,0,0,14.87,8.47,0,52.43,0,0,0.71,1.4,0,0,5.39,0,1.84,0,2.86
 84-94,0,0,0,0,0,2.02,1.26,0,0,0,0,0,0,20.98,0.84,0.75,40.17,0,0,0,1.14,0,0,0,0.55,0,4.38,14.14
 96-106,0,0,0,0,8.85,2.84,5.16,0,8.81,1.03,1.98,1.99,0,11.85,3.4,0,26.62,3.13,0,1.11,0,0,0,0,0,1.27,2.37,20.13
108-118,0,0,0,0.71,0,7.99,2.49,0,0,0,0.61,4.34,0,28.09,16.21,0,39.75,1.72,0,6.74,1.82,0,0,0.47,0,1.23,0,8.65
120,0,0,0,0,0,9.3,0,0,0,0,0,0,1.37,36.36,2.47,3.19,43.99,10.22,0,0,1.44,3.77,0,3.5,0,0,0,47.26
