stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.13,5.08,14.99,16.48,0,9.31,0,0,0,17.58,3.9,8.01,0,6.71,0,0,0.86,18.19,0,0,16.37,234.29,3.81,0.83,0,6.11,0,0,28.88,0,1.23,21.4,101.29,0,0,0,0
 24-34,1.1,0.59,1.5,1.76,0,15.54,0,0.62,0,8.66,6.93,0,0,0,0,0,0,26.27,0,0.91,14.06,178.45,0,2.57,1.96,0,0,0.74,0,1.76,3.03,4.13,49.81,0,0,0,0
 36-46,0,0,0,0,0,46,0,0,0,8.51,2.16,0,0,0,0,0,0,25.15,0,0,9.07,227,0,9.72,0.63,0,0,0,0,0,2.63,0,74.11,0,0,0,0
 48-58,0,0,9.89,0,0,74.9,0,0.44,0.43,24.52,2.97,2.51,0,0,0,5.41,0,20.22,0,0.84,5.99,136.31,0,1.14,0.5,0,0,4.12,0,7.63,5.15,0,28.9,0,0,0,5.84
 60-70,0,0,7.42,10.5,0,55.52,0,0,0,20.35,6.68,6.03,0,0,0,6.53,0,22.27,0,4.68,2.14,110.8,4.83,1.97,0,0,0,0,0,0,4.8,0,17.43,1,0,0,0
 72-82,0.5,0,6.27,1.2,1.7,76.22,0,4.11,1.39,30.76,20.82,0,0,0.51,0,0,0,47.16,0.88,7.45,5.92,195.38,0,5.28,1.69,0,0,2.21,0,0,0.56,0,30.73,2.19,2.08,3.43,5.04
 84-94,7.19,0,8.91,8.18,1.36,48.32,0,0,1.85,26.65,40.48,4.72,0.69,0.57,0,0,0,32.93,0,9.36,5.23,148.06,0,6.6,7.04,0,0.83,0,0,0.7,0.63,0,17.69,0,2.32,2.61,0
 96-106,13.36,0,6.6,2.8,0,87.67,3.61,0.68,3.37,30.87,62.74,0,0,0,0,4.24,0,36.33,5.58,6,0,110.47,0,2.84,1.13,0,0,2.5,0,1.33,1.9,0,5.15,1.79,0,2.91,0
108-118,7.62,0,0.7,5.04,6.95,55.91,0,1.35,3.03,50.69,61.8,2.74,0,1.1,4.5,3.65,0,53.95,1.41,7.27,9.72,182.09,0,10.76,4.25,0,2.53,0,0,0,1.87,0,7.61,0,5.62,0.87,7.51
120,0,0,2.31,3.92,0,91.28,2.05,0,1.29,75.52,75.5,0,0,4.55,0,9.6,0,81.3,0,0,4.46,270.54,0,0,10.93,0,0,1.47,0,0,1.21,0,18.32,1.32,4.7,0,0
