stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0.82,0,0,0,0,0.91,0,2.63,7.54,0,0,0,1.55,0.82,1.88,2.3,0,0,0
 24-34,0,2.6,0,0,0,0,1.45,0,0,0,0,0,1.19,9.57,0,0,0,4.34,0,0,0.96,0,0,0
 36-46,0,1.28,0,0,0,0,0.93,0,0,0,1.28,0,0.63,12.13,0,1.63,0,11.21,1.89,0,3.72,0,0,0
 48-58,0.37,5.72,0.58,0,0.6,0,0,0,0,0,1.88,0,0,28.93,5.84,0,0,4.85,0,0,3.73,0,0,0
 60-70,0,17.91,0,1.81,0.73,0,0,0,0,0,2.59,0,2.73,38.53,0,0,0,5.88,0,0,0,0,1.76,0.69
 72-82,0,17.67,0,0,2.31,0,0,0,0,0,2.43,0,0,25.97,0,0,0,6.06,0,0,0,0,0,2.55
 84-94,1.28,9.41,0,0,4.89,0.58,0,1.3,0,0,1.65,0,0,25.81,0,0,1.53,10.82,0,0,0,0,0.84,0
 96-106,0.63,5.06,0,0,1.35,0,0,0,0,0.6,2.81,1.41,0,11.87,0,2.72,0,12.31,0,0,0,2.14,0,0
108-118,1.45,26.73,0,0.53,0.62,0.5,0,0,0.74,3.25,2.79,0,0.5,24.29,0,0,0,16.52,0,0,0,0,0,0
120,7.95,6.93,0,0,18.73,0,0,0,0,1.89,13.47,0,0,42.81,0,0,0,5.96,0,0,7.97,0,0,0
