stage,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,1.06,0,1.51,0,0,0,0
 24-34,1.49,0,0,1.49,0,0,0,6.5,2.43,2.75,4.9,0
 36-46,0,0.72,0,0,0,0,0,17.86,0,0,1.64,0
 48-58,0,10.79,0,0,0,7.67,0,21.37,0,0,12.02,1.33
 60-70,0,0.88,6.18,2.8,6.49,1.27,0,39.74,0,3.25,4.28,0
 72-82,0,9.44,0,11.64,0,6.1,0,11.48,0,2.1,0,0
 84-94,0,1.69,0,0,0,2.23,1.21,0.85,5.57,0,0,0
 96-106,0,1.57,0,0,0,0,0,13.11,0,0,0,0
108-118,0,2.5,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,2.19,1.4,0,4.08,0,0,0,0
