stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,liver,mesenchyme,neural,pgc,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.95,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.66,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.59,0,0,0,0
 24-34,0,0,0,0.97,0,0,0,0,0,0,0,0,0
 36-46,0,0.79,0,0,1.39,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.45
 60-70,0,0,0,0,0,0,0,0,0,0,3.11,0,0
 72-82,0,0,1.53,0,0,1.43,0.76,0.59,0,0,0,0,0
108-118,0,0,0,0,0,0,0.44,0.65,0,0,0,0.85,0
