stage,endoderm,epidermis,glial,heart,ionocyte,mesenchyme,neural,otic,periderm,spinal_cord,xanthophores
 10-12,0,0,0,0,0,0,6.72,0,0,0,0
 14-21,0.87,1.7,0,0,0,0,0,0,0,0.89,0
 24-34,0,0,0,0,0,0.72,0.81,0,0,0,0
 36-46,0,0,0,0,0,0.57,7.78,0,0,1.26,0
 48-58,0,0,0.68,0,0,0,0,2.29,0,0,0
 60-70,0,0,1.62,0,0,0,0,0,0.74,0.93,1.17
 72-82,0,0,1.56,0,0,1.48,0.58,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.74,0,0
108-118,0,0.52,0,2.64,0,0,0,0,0,0,0
120,0,4.93,0,0,9.11,0,0,0,0,0,0
