stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.34,2485.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1373.87,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,8.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.69,0,20.66,0,0,0,30.86,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,281.91,9.53,0,0,67.62,0,0,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.53,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,88.56,0,0,0,53.61,0,0,18.14,0,6.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,5.69,0,0,4.73,0,0,2.19,0,4.26,0,0,0,0,0,4.01,0,0,4.91,24.47,0,0,0,0,0,1,0,4.98,0,0,4.77,12.32,0,0,0,0,0
 24-34,0,0,0,0,3.53,0,0,15.11,0,0,0,0,0,0,0,0,0,0,7.82,5.25,0,2.67,85.13,0.7,0,0,0,0,2.63,0,0,0,0,1.34,8.72,0,0,0.65,0,0
 36-46,0,0,0,0,0.62,0,0,25.95,1.24,0,1.82,0,0,0,0,0,0,0,14.19,0,0,2.99,78.28,0.58,0.57,0,0,0,27,0,0,0,0,0,18.99,0,0,2.83,0,0
 48-58,0,0,0,0,2.38,0,0,44.9,0,0,8.48,0.38,0,0.89,0,0,0,0,10.77,0,0,3.66,74.06,0,0.38,0.45,0,0,1.43,0,0,0,0,0,11.75,0,0,0,0,0
 60-70,0,0,0,0,8.22,0,0,96.71,0,0,8.45,2,0,0,0,0,2.21,0,22.53,1.09,0.84,0,112.56,0.62,4.54,0,0,0,7.33,0,0,0,0,0,30.11,0,0.83,2.56,0,0
 72-82,0,0,0.95,0,5.05,0.7,0,90.28,0,1.43,12.26,0.53,0,0.6,0.52,0,0.6,0,32.43,0,0,1.2,110.27,4.03,1.34,0,0,0,5.41,0,0,0,0,0,17.37,1.68,0.73,9.04,0.91,0
 84-94,0,0,0,0,5.47,1.4,0,48.51,0.63,3.15,4.49,0.84,0,0,1.11,0.75,0,2.64,20.79,1.03,0,2.02,63.82,0,0,0,0,5.27,8.69,0,0,0,0,0,4.73,0,0,0,0,0
 96-106,0,0,0,0,11.69,6.9,0.89,49.39,0,0,8.1,3.08,0,0,2.22,0,1.7,0,22.36,5.92,0,0,60.5,0.73,2.99,3.96,0,0,11.49,0,0,0,0,0,7.9,0,0,0.83,0,0
108-118,0,0,0,0,3.56,0,1.08,52.71,0.6,0.64,9.3,1.62,0,0.74,1.67,0,0,0.46,23.17,0.57,0.75,1.89,76.07,0,1.53,0.43,0,0,6.37,0,0,0,0.69,0,0.96,0,0,0.57,0,0.74
120,0,0,0,0,21.26,10.07,4.27,20.01,1.42,11.96,10.09,0,0,0,4.06,0,0,0,6,0,0,1.68,121.33,0,0,0,0,12.66,0,0,0,0,0,0,0,0,3.55,0,0,0
