stage,eye,glial,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,vasculature
  7-9,0,0,0,0,0,3.28,0,4.18,0
 14-21,0,0.83,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,5.19,0,0,0
 48-58,0.53,0,0,0,0.41,1.73,0,0,0.63
 72-82,2.89,0,0,0.56,0,2.02,0,0,0
 84-94,0,0,1.11,0,0,0,0,0,0
108-118,0,0,0.55,0,0,0,0,0,0
