stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,46.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.87,0,0,0,0,0,10.52,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,182.77,3.45,0,2.96,0,0,0,0,0,0,0,0,1049.61,0,0,0,0,8.28,498.19,0,2.43,127.7,0.87,0,0,0,472.51,0,3.69,0,0,5.8,6.98,0,0,0,0,0
 24-34,0,0,0.75,0.74,599.18,0,0,55.7,0,2.53,2.68,4.9,3.42,0,7.96,8.02,27286.31,3.58,1.09,14.33,22.24,76.38,712.41,0,53.91,1281.07,8.13,9.05,6.12,0,275.04,0,0,4.76,0.88,7.67,111.48,0,0,65.74,0,7.53
 36-46,0,0,0,0,402.16,2.3,0,75.63,3.82,0,2.28,9.45,1.6,0,0,0,19345.85,0,1.34,8.36,0,47.21,1921.32,0.89,8.39,471.96,3.04,1.92,4.85,0.97,224.47,0,0,10.47,0.7,0.83,74.81,0,0,25.52,0,10.51
 48-58,0,0,0,0,93.03,1.78,0,108.66,0.95,0.47,1.1,23.52,0,0.75,0,1.21,11952.76,0,0,0,4.09,41.21,720.59,0.39,6.14,344.3,0,2.33,2.51,0,88.13,0,0,0,0,0,72.1,0,0,15.54,0,32.35
 60-70,0,0,0,0,1094.71,0,0,135.74,0,1.36,1.64,17.51,0,0,0,0,7714.41,7.66,11.22,11.73,0,60.71,1.08,9.54,13.93,262.64,3.13,1.02,8.37,1.97,80.41,0,0,0,0,0,32.62,0,0.73,6.02,0,33.57
 72-82,0,0,0.83,0,560.26,75.33,0.76,287,2.24,4.01,3.26,61.52,2.85,0.91,5.12,7.4,9948.05,0,1.56,1.63,0,139.08,87.66,1.09,19.1,462.05,1.02,10.95,11.67,0,152.65,4.96,0,0.63,0,0,29.28,0.5,6.75,13.21,0.73,23.36
 84-94,0.62,0,0,0,1127.26,23.24,0,183.07,12.15,156.71,3.42,135.96,0,0,7.21,8.16,19135.81,9.68,41.34,6,7.63,88.87,1739.38,2.6,4.3,263.36,0,41,2.57,3.87,545.03,0,0,0,0,0,37.49,1.37,1.87,99.39,3.54,0
 96-106,1.12,0,3.68,0,3412.91,131.4,11.39,337.03,8.68,161.52,13.27,98.01,10.76,0,2.87,19.06,18846.28,18.73,96.9,76.42,8.19,237.03,60.4,6.78,22.91,753.96,21,161.54,12.46,3.51,202.35,5.17,0,1.68,0.84,0,41.76,12.87,5.3,44.68,16,22.71
108-118,0,0,2.18,0,1237.57,40.3,13.84,241.42,4.4,76.68,10.19,66.14,10.31,0,0,253.84,23802.49,6.14,134.41,13.04,0,177.38,729.18,18.74,14.58,679.7,1.46,108.05,5.69,4.54,162.05,0,0,0.61,0.56,0,17.98,3.2,3.29,11.5,5.63,7.9
120,0,0,0,0,1118.96,11.96,13.4,172.88,0,328.55,12.24,18.98,12.81,0,0,22.26,8639.97,3.33,9.64,1.57,0,73.9,0,0,0,475.34,0,49.95,15.85,7.89,147.96,0,0,1.73,0,0,15.6,3.15,0,22.92,5.96,0
